stage,topology_seed,dynamics_seed,arm,detected_index,event_time_ms,primary_eligible,primary_exclusion_reasons,prolonged,n_unique_contacts,n_finite_centroids,multiple_local_bursts_contact_fraction,median_mass_outside_detection,mode,support_state,distance_mode0,distance_mode1,in_primary_window,window_start_ms,window_end_ms,qualifying_start_ms,qualifying_end_ms,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms,route_upper_SCL_n,route_upper_SCL_ms,route_right_ICL_n,route_right_ICL_ms,route_middle_ICL_n,route_middle_ICL_ms,route_left_ICL_n,route_left_ICL_ms,route_middle_before_both_ICL_ends,route_right_before_upper_and_left,route_upper_and_left_before_right
screen,2511,820102,B1,27,13474.0,False,overlapping_window,False,8,8,0.0,0.02971072305995448,1,1,0.4116799356967178,0.2696727438065408,True,13348.0,13598.0,13448.0,13500.0,,,,,,,13456.255859375,,13462.2392578125,13466.9921875,13471.578125,13476.9443359375,13482.017578125,13487.5458984375,13492.6083984375,0,,2,13490.0771484375,4,13464.61572265625,0,,,,
screen,2511,820102,B1,28,13686.0,False,overlapping_window,False,9,9,0.0,0.03266865936667467,1,0,0.629794669483777,0.5938365098762143,True,13560.0,13810.0,13664.0,13708.0,,13785.9658203125,,,,,13667.947265625,,13673.8310546875,13678.78125,13683.7021484375,13689.7548828125,13696.267578125,13702.501953125,13707.7880859375,0,,2,13705.14501953125,4,13676.30615234375,1,13785.9658203125,True,,
screen,2511,820102,B1,29,13913.0,False,overlapping_window,False,9,9,0.0,0.03405576629606052,1,-1,1.3577149428037238,0.9528075136290367,True,13788.0,14038.0,13888.0,13938.0,,13793.39453125,,,,,13894.408203125,,13900.8212890625,13906.5888671875,13912.3486328125,13918.638671875,13924.140625,13928.349609375,13931.5380859375,0,,2,13929.94384765625,4,13903.705078125,1,13793.39453125,False,,
screen,2511,820102,B1,30,14143.0,False,overlapping_window,False,15,15,0.0,0.029950766131556443,1,-1,0.976597661449144,1.0928602810915504,True,14018.0,14268.0,14106.0,14180.0,14260.9169921875,14139.4423828125,14258.0537109375,14135.0830078125,14254.7216796875,14130.125,14130.1142578125,14243.546875,14134.818359375,14137.8544921875,14142.8583984375,14148.509765625,14154.1982421875,14159.822265625,14165.1689453125,4,14256.3876953125,2,14162.49560546875,4,14136.33642578125,3,14135.0830078125,False,False,False
screen,2511,820102,B1,31,14405.0,True,,False,10,10,0.0,0.05971513343062318,1,-1,1.2329944604032472,1.2386970580337644,True,14280.0,14530.0,14374.0,14436.0,14287.1181640625,14404.158203125,,14398.662109375,,14392.99609375,14397.1806640625,,14403.34765625,14409.1298828125,14416.525390625,14422.95703125,,,14394.302734375,1,14287.1181640625,1,14394.302734375,4,14406.23876953125,3,14398.662109375,False,False,False
screen,2511,820102,B1,32,14873.0,True,,False,12,12,0.0,0.0943126221936329,1,1,0.3774018520179288,0.33789236643245796,True,14748.0,14998.0,14838.0,14908.0,14881.0849609375,14869.4384765625,14871.2568359375,14869.234375,,14869.6904296875,14871.1591796875,,14876.8720703125,14882.2080078125,14888.8623046875,14895.2236328125,14905.099609375,,14864.716796875,2,14876.1708984375,1,14864.716796875,4,14879.5400390625,3,14869.4384765625,False,True,False
screen,2511,820102,B1,33,15140.0,True,,False,15,15,0.0,0.03449017059083891,1,1,0.716910519400911,0.39373736187718367,True,15014.0,15264.0,15096.0,15184.0,15111.34375,15136.576171875,15102.6376953125,15130.740234375,15096.9453125,15133.302734375,15139.826171875,15087.7392578125,15145.3642578125,15148.7294921875,15157.46484375,15162.9443359375,15171.6455078125,15178.9443359375,15185.8701171875,4,15099.79150390625,2,15182.4072265625,4,15147.046875,3,15133.302734375,False,False,True
screen,2511,820102,B1,34,16117.0,True,,False,10,10,0.0,0.028317152832568644,0,1,0.3868544802466017,0.4162685923482495,True,15992.0,16242.0,16080.0,16154.0,16127.9814453125,,,,,16105.5361328125,16113.0185546875,,16119.57421875,16126.3212890625,16130.0869140625,16122.0478515625,16111.189453125,16108.13671875,16104.9697265625,1,16127.9814453125,2,16106.55322265625,4,16122.94775390625,1,16105.5361328125,False,False,False
screen,2511,820102,B1,35,17916.0,False,overlapping_window,False,10,10,0.0,0.08011837924929091,1,0,0.4910676140394611,0.4502788944059253,True,17790.0,18040.0,17886.0,17946.0,17994.076171875,17928.330078125,,17922.35546875,,17914.533203125,17906.95703125,,17901.509765625,,,17908.44921875,17916.154296875,17923.458984375,17931.47265625,1,17994.076171875,2,17927.4658203125,2,17904.2333984375,3,17922.35546875,True,False,False
screen,2511,820102,B1,36,18164.0,False,overlapping_window,False,9,9,0.0,0.050117235490974056,0,1,0.3164777023398989,0.3168030934776372,True,18038.0,18288.0,18126.0,18202.0,,,,,,18160.5234375,18166.361328125,,18167.724609375,18163.599609375,18158.173828125,18156.79296875,18161.939453125,18168.154296875,18174.751953125,0,,2,18171.453125,4,18164.98046875,1,18160.5234375,False,,
