q,phase,dt_ms,offset_from_low_fold_mv,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.8375,0.25,0.125,-0.005,0.2669962310675765,bounded_CCO,True,False,1.8085971954109448e-06,0.0019827212510120746,1.932272327124715e-06,C,7,1608.7543527657274,9.834496622519503e-10,150.57110786437988,8.252851864273758,False,0,0,"[1597.366503820534, 3206.1209053732982, 4814.8753049311035, 6423.6296538427805, 8032.38400467355, 9641.138357433796, 11249.892712139963]",C,8,1608.7543918195545,7.802311790466435e-10,99.24046695232391,5.216500507049568,False,0,0,"[6.5252256119820355, 1604.0879230088533, 3212.842308740066, 4821.596695989127, 6430.3510847559755, 8039.1054750410385, 9647.859866854991, 11256.61426021464]",O_unresolved,0,,,12.927892617881298,1.1077349963216874,False,0,0,[]
0.8375,0.25,0.125,0.0,0.2719962310675765,LLL,False,False,,,1.0416854448469516e-09,L,0,,,144.48682963848114,2.7376168775567393,False,0,0,[],L,1,,,93.91408413648605,1.9266215039643937,False,0,0,[6.525958774466932],L,0,,,9.610540233552456,0.8548286895894124,False,0,0,[]
0.8375,0.25,0.125,0.005,0.2769962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.45354044437408,2.4187329690903425,False,0,0,[],L,1,,,93.88285875320435,1.7738492460921407,False,0,0,[6.52669238367364],L,0,,,9.600582532584667,0.8483104757033288,False,0,0,[]
0.8375,0.25,0.125,0.025,0.2969962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.32013034820557,2.053270349279046,False,0,0,[],L,1,,,93.75780820846558,1.588058890774846,False,0,0,[6.529631296203122],L,0,,,9.56079177558422,0.8406010456383228,False,0,0,[]
0.8375,0.5,0.125,-0.005,0.2669962310675765,bounded_CCO,True,False,1.832132890620519e-06,0.0019868767734491253,1.9322685358189907e-06,C,7,1608.7543524958107,9.822677284797109e-10,150.57115256786346,8.252851390247299,False,0,0,"[1597.3658904307777, 3206.1202917088176, 4814.874694958235, 6423.629047519206, 8032.383398082382, 9641.137750572723, 11249.892105006638]",C,8,1608.7543916054562,7.790240904889145e-10,99.24041479825974,5.216500321505387,False,0,0,"[6.525239936972239, 1604.0873117884757, 3212.8416973082144, 4821.596084345671, 6430.350472900912, 8039.10486297425, 9647.859254574114, 11256.61364771728]",O_unresolved,0,,,12.927895411849022,1.107734986446136,False,0,0,[]
0.8375,0.5,0.125,0.0,0.2719962310675765,LLL,False,False,,,1.0416853359063171e-09,L,0,,,144.48630809783936,2.7376168775567393,False,0,0,[],L,1,,,93.91351789236069,1.9266215044291255,False,0,0,[6.525973114759398],L,0,,,9.610245004296303,0.8548286895894124,False,0,0,[]
0.8375,0.5,0.125,0.005,0.2769962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.4530189037323,2.4187329690903425,False,0,0,[],L,1,,,93.88229250907898,1.7738492460921407,False,0,0,[6.526706739283908],L,0,,,9.600287303328514,0.8483104757033288,False,0,0,[]
0.8375,0.5,0.125,0.025,0.2969962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.31960880756378,2.053270349279046,False,0,0,[],L,1,,,93.75724196434021,1.588058890774846,False,0,0,[6.529645713240417],L,0,,,9.560497477650642,0.8406010456383228,False,0,0,[]
0.8375,0.75,0.125,-0.005,0.2669962310675765,bounded_CCO,True,False,1.8251472919543612e-06,0.0019856894541665474,1.9322696611098234e-06,C,7,1608.7543525759027,9.82627108600286e-10,150.57113766670227,8.25285150863773,False,0,0,"[1597.3660724862034, 3206.1204738458214, 4814.87487717683, 6423.629227477534, 8032.383578120106, 9641.137930690515, 11249.892285205242]",C,8,1608.75439166898,7.793906310371728e-10,99.24042969942093,5.216500350551126,False,0,0,"[6.5252358343490755, 1604.0874932009312, 3212.8418787834744, 4821.596265883757, 6430.350654501848, 8039.1050446379995, 9647.859436301364, 11256.613829508788]",O_unresolved,0,,,12.927895411849022,1.107734989583076,False,0,0,[]
0.8375,0.75,0.125,0.0,0.2719962310675765,LLL,False,False,,,1.0416853660905056e-09,L,0,,,144.4864720106125,2.7376168775567393,False,0,0,[],L,1,,,93.91368180513382,1.9266215044291255,False,0,0,[6.525969007654336],L,0,,,9.610332548618317,0.8548286895894124,False,0,0,[]
