tau_fast_s,tau_slow_s,q_hold,m,q_star,representative
25.0,80.0,0.8425,0.19,0.8429074057443762,True
25.0,80.0,0.8425,0.2,0.8429294213731895,True
25.0,80.0,0.8425,0.21,0.842951420029536,True
25.0,80.0,0.8425,0.22,0.842973401733035,True
25.0,80.0,0.8425,0.23,0.8429953665032753,True
25.0,80.0,0.8425,0.24,0.8430173143598161,True
25.0,80.0,0.8425,0.25,0.8430392453221857,True
25.0,80.0,0.8425,0.26,0.8430611594098832,True
25.0,80.0,0.8425,0.27,0.8430830566423771,True
25.0,80.0,0.8425,0.28,0.8431049370391065,True
25.0,80.0,0.8425,0.29,0.8431268006194796,True
25.0,80.0,0.8425,0.3,0.8431486474028763,True
25.0,80.0,0.8425,0.31,0.8431704774086455,True
25.0,80.0,0.8425,0.32,0.8431922906561067,True
25.0,80.0,0.8425,0.33,0.84321408716455,True
25.0,80.0,0.8425,0.34,0.8432358669532357,True
25.0,80.0,0.8425,0.35000000000000003,0.8432576300413948,True
25.0,80.0,0.8425,0.36,0.8432793764482283,True
25.0,80.0,0.8425,0.37,0.8433011061929084,True
25.0,80.0,0.8425,0.38,0.8433228192945775,True
25.0,80.0,0.8425,0.39,0.8433445157723489,True
25.0,80.0,0.8425,0.4,0.8433661956453067,True
25.0,80.0,0.8425,0.41000000000000003,0.8433878589325052,True
25.0,80.0,0.8425,0.42,0.8434095056529707,True
25.0,80.0,0.8425,0.43,0.8434311358256992,True
25.0,80.0,0.8425,0.44,0.8434527494696583,True
25.0,80.0,0.8425,0.45,0.8434743466037868,True
25.0,80.0,0.8425,0.46,0.8434959272469943,True
25.0,80.0,0.8425,0.47000000000000003,0.8435174914181612,True
25.0,80.0,0.8425,0.48,0.8435390391361399,True
25.0,80.0,0.8425,0.49,0.8435605704197533,True
25.0,80.0,0.8425,0.5,0.8435820852877957,True
25.0,80.0,0.8425,0.51,0.8436035837590333,True
25.0,80.0,0.8425,0.52,0.8436250658522031,True
25.0,80.0,0.8425,0.53,0.843646531586014,True
25.0,80.0,0.8425,0.54,0.843667980979146,True
25.0,80.0,0.8425,0.55,0.8436894140502511,True
25.0,80.0,0.8425,0.56,0.8437108308179524,True
25.0,80.0,0.8425,0.5700000000000001,0.8437322313008454,True
25.0,80.0,0.8425,0.58,0.8437536155174966,True
25.0,80.0,0.8425,0.59,0.8437749834864446,True
25.0,80.0,0.8425,0.6,0.8437963352262002,True
25.0,80.0,0.8425,0.61,0.8438176707552452,True
25.0,80.0,0.8425,0.62,0.8438389900920344,True
25.0,80.0,0.8425,0.63,0.8438602932549938,True
25.0,80.0,0.8425,0.64,0.8438815802625219,True
25.0,80.0,0.8425,0.65,0.8439028511329889,True
25.0,80.0,0.8425,0.66,0.8439241058847378,True
25.0,80.0,0.8425,0.67,0.843945344536083,True
25.0,80.0,0.8425,0.68,0.8439665671053117,True
25.0,80.0,0.8425,0.6900000000000001,0.8439877736106834,True
25.0,80.0,0.8425,0.7000000000000001,0.8440089640704298,True
25.0,80.0,0.8425,0.71,0.8440301385027551,True
25.0,80.0,0.8425,0.72,0.8440512969258359,True
25.0,80.0,0.8425,0.73,0.8440724393578215,True
25.0,80.0,0.8425,0.74,0.8440935658168335,True
25.0,80.0,0.8425,0.75,0.8441146763209664,True
25.0,80.0,0.8425,0.76,0.8441357708882871,True
25.0,80.0,0.8425,0.77,0.8441568495368356,True
25.0,80.0,0.8425,0.78,0.8441779122846245,True
25.0,80.0,0.8425,0.79,0.8441989591496389,True
25.0,80.0,0.8425,0.8,0.8442199901498375,True
25.0,80.0,0.8425,0.81,0.8442410053031513,True
25.0,80.0,0.8425,0.8200000000000001,0.8442620046274847,True
25.0,80.0,0.8425,0.8300000000000001,0.8442829881407147,True
25.0,80.0,0.8425,0.84,0.8443039558606918,True
25.0,80.0,0.8425,0.85,0.8443249078052396,True
25.0,80.0,0.8425,0.86,0.8443458439921546,True
25.0,80.0,0.8425,0.87,0.8443667644392069,True
25.0,80.0,0.8425,0.88,0.8443876691641394,True
25.0,80.0,0.8425,0.89,0.8444085581846692,True
25.0,80.0,0.8425,0.9,0.8444294315184856,True
25.0,80.0,0.8425,0.91,0.8444502891832524,True
25.0,80.0,0.8425,0.92,0.8444711311966066,True
25.0,80.0,0.8425,0.93,0.8444919575761581,True
25.0,80.0,0.8425,0.9400000000000001,0.8445127683394915,True
25.0,80.0,0.8425,0.9500000000000001,0.844533563504164,True
25.0,80.0,0.8425,0.96,0.8445543430877073,True
25.0,80.0,0.8425,0.97,0.8445751071076261,True
25.0,80.0,0.8425,0.98,0.8445958555813996,True
25.0,80.0,0.8425,0.99,0.8446165885264802,True
25.0,80.0,0.8425,1.0,0.844637305960295,True
