tau_fast_s,tau_slow_s,q_hold,phase,source_dt_ms,q_reserve,tau_depletion_ms,low_state_entry_ms,q_exit,m_exit,additive_exit_mv,max_abs_q_excursion,fold_margin_at_exit_mv,replay_finite_domain_pass,small_q_excursion_pass,dynamic_fold_margin_pass,active_q_below_entry_fold,effective_tau_recovery_ms,time_to_qsafe_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,q_at_reset,protected_margin_min_mv,protected_margin_pass,release_after_reset_ms,q_at_additive_release,q_never_decreases_after_reset,post_reset_release_pass,handoff_pass,path_pass
20.0,70.0,0.8425,0.5,0.125,0.8413144532634171,273.10824806823996,118.0,0.8422929209918546,0.23083116114139557,0.36932985782623295,0.00023591080178630985,0.1666703796465053,True,True,True,True,44385.88599418289,59802.42030078795,2629.9184229899865,59802.42030078795,True,0.885,0.1666703796465053,True,34991.494737876856,0.8917137194022545,True,True,True,True
20.0,70.0,0.8425,0.75,0.125,0.8413144532634171,273.10824806823996,118.0,0.842292920871233,0.23083138465881348,0.3693302154541016,0.0002359108713962943,0.16667073552158196,True,True,True,True,44385.870267288396,59802.399204253765,2629.9184229899865,59802.399204253765,True,0.885,0.16667073552158196,True,34991.50635765862,0.8917137215715115,True,True,True,True
20.0,70.0,0.8425,0.0,0.0625,0.8413144532634171,273.10824806823996,118.0,0.8422930105038845,0.23048906028270721,0.3687824964523316,0.00023584881854732398,0.16612431900099808,True,True,True,True,44409.96959954386,59834.79997005935,2629.9184229899865,59834.79997005935,True,0.885,0.16612431900099808,True,34973.69707427517,0.8917103970399974,True,True,True,True
20.0,70.0,0.8425,0.25,0.0625,0.8413144532634171,273.10824806823996,118.0,0.8422930104629571,0.23048914968967438,0.368782639503479,0.00023584884266913964,0.16612446145741655,True,True,True,True,44409.96330195619,59834.79151663928,2629.9184229899865,59834.79151663928,True,0.885,0.16612446145741655,True,34973.70172908784,0.8917103979088764,True,True,True,True
20.0,70.0,0.8425,0.5,0.0625,0.8413144532634171,273.10824806823996,118.0,0.8422930104935297,0.2304890900850296,0.3687825441360474,0.00023584882441862742,0.16612436653424453,True,True,True,True,44409.96750034777,59834.797149722304,2629.9184229899865,59834.797149722304,True,0.885,0.16612436653424453,True,34973.698625879595,0.8917103973296278,True,True,True,True
20.0,70.0,0.8425,0.75,0.0625,0.8413144532634171,273.10824806823996,118.0,0.8422930105024049,0.2304890751838684,0.36878252029418945,0.00023584881948346403,0.1661243428213555,True,True,True,True,44409.968549945785,59834.798557045026,2629.9184229899865,59834.798557045026,True,0.885,0.1661243428213555,True,34973.697850077406,0.8917103971848221,True,True,True,True
20.0,70.0,0.845,0.0,0.125,0.8439360849508646,242.54662812003068,118.0,0.8447905818256878,0.228600412607193,0.3657606601715088,0.0002374749295962486,0.1996939946861034,True,True,True,True,44543.40060622416,58043.763981990276,2629.9184229899865,58043.763981990276,True,0.885,0.1996939946861034,True,34874.96294378015,0.8916919744433115,True,True,True,True
20.0,70.0,0.845,0.25,0.125,0.8439360849508646,242.54662812003068,118.0,0.8447905818256833,0.228600412607193,0.3657606601715088,0.00023747492960701777,0.1996939946860383,True,True,True,True,44543.40060622416,58043.76398199387,2629.9184229899865,58043.76398199387,True,0.885,0.1996939946860383,True,34874.96294378015,0.8916919744433115,True,True,True,True
20.0,70.0,0.845,0.5,0.125,0.8439360849508646,242.54662812003068,118.0,0.8447905817998251,0.22860047221183777,0.36576075553894044,0.0002374749459455039,0.1996940896743463,True,True,True,True,44543.396382565916,58043.7584990777,2629.9184229899865,58043.7584990777,True,0.885,0.1996940896743463,True,34874.96607262684,0.8916919750268928,True,True,True,True
20.0,70.0,0.845,0.75,0.125,0.8439360849508646,242.54662812003068,118.0,0.8447905818188752,0.2286004275083542,0.3657606840133667,0.00023747493413250886,0.19969401842807813,True,True,True,True,44543.39955030953,58043.76261154192,2629.9184229899865,58043.76261154192,True,0.885,0.19969401842807813,True,34874.963725991896,0.8916919745892077,True,True,True,True
