candidate,seed,layer,mode,n,SCL_upper_participation,SCL_minus_ICL_lag_median_ms,pair_order_probability_mae
near_upper__EE_angle_offset_deg_-15,847102,all_detected,TB,67,0.8955223880597014,47.385389426824986,
near_upper__EE_angle_offset_deg_15,847101,primary,ALL,5,0.4,-47.632054984434944,0.5505800918537975
near_upper__EE_angle_offset_deg_15,847101,primary,TA,0,,,
near_upper__EE_angle_offset_deg_15,847101,primary,TB,5,0.4,-47.632054984434944,0.4188558451297988
near_upper__EE_angle_offset_deg_15,847101,all_detected,ALL,77,0.487012987012987,-44.14342920634044,
near_upper__EE_angle_offset_deg_15,847101,all_detected,TA,0,,,
near_upper__EE_angle_offset_deg_15,847101,all_detected,TB,77,0.487012987012987,-44.14342920634044,
near_upper__EE_angle_offset_deg_15,847102,primary,ALL,4,0.375,-50.94755414508927,0.4950067326496068
near_upper__EE_angle_offset_deg_15,847102,primary,TA,0,,,
near_upper__EE_angle_offset_deg_15,847102,primary,TB,4,0.375,-50.94755414508927,0.355119581393535
near_upper__EE_angle_offset_deg_15,847102,all_detected,ALL,76,0.4868421052631579,-40.63799277110411,
near_upper__EE_angle_offset_deg_15,847102,all_detected,TA,0,,,
near_upper__EE_angle_offset_deg_15,847102,all_detected,TB,76,0.4868421052631579,-40.63799277110411,
