candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__out_perp20,847101,12.468878774121764,85,5,0.3940736459966447,36.19976059050896,0.011764705882352941,85,0.6,-13.810642370866844
up3__circle__EE_core_to_out_degree_scale_1.5,847101,3.88803100844156,79,85,0.32693612806516836,34.53742622595746,0.1518987341772152,79,0.9823529411764707,-19.523967958777575
up3__ellipse4,847101,8.69557672775652,95,16,0.3644448017478517,36.42293787683593,0.08045977011494253,87,0.53125,66.64623257743187
up3__ellipse4__core_ou_correlation_1.0,847101,12.604473912923751,99,2,0.39537902658671076,36.16109770838739,0.020618556701030927,97,1.0,98.42326835459971
up3__ellipse4__EE_core_to_out_scale_0.75,847102,,0,0,,,,0,,
up3__out_angle_m15,847101,6.9806381968516575,87,28,0.32741975123657635,36.32315571624622,0.11688311688311688,77,1.0,91.30440372610974
up3__ellipse4__EE_same_core_scale_0.75,847102,6.121261150502243,25,13,0.35129194506610384,44.83218517703426,0.08333333333333333,24,0.9230769230769231,103.82796797557785
up3__out_angle_p15,847102,5.075274760165301,65,39,0.3603539771884337,36.120019106344444,0.20634920634920634,63,0.6923076923076923,90.44705893335777
up3__circle__depth_A_scale_1.25,847101,6.63027436921438,91,38,0.3060373715008741,44.651661142183,0.1686746987951807,83,0.9473684210526315,92.46209556815302
up3__out_perp20,847102,12.76315461278127,92,3,0.39369245614954246,36.42123663548409,0.03260869565217391,92,0.6666666666666666,-41.323264490634756
endpoint__circle,847101,6.463326121820909,83,48,0.35527054048997353,36.28783880427363,0.012345679012345678,81,0.7604166666666667,101.49270241052
endpoint__out_reference,847101,5.286367162570711,70,64,0.34858158951788165,36.39409417026536,0.015384615384615385,65,0.7421875,101.43598696872505
up3__circle__II_same_core_scale_0.75,847101,9.223930867029646,93,9,0.34624677109465984,37.007699660712206,0.058823529411764705,85,0.8888888888888888,93.57148246832367
endpoint__ellipse4,847101,5.607572181936841,75,42,0.3899022177808121,36.276656902380864,0.0,70,0.41666666666666663,38.829976059209
up3__circle__EE_same_core_scale_1.0,847101,4.041456351672965,92,85,0.3449736614052222,35.05664324037343,0.09782608695652174,92,0.0058823529411764705,-17.703978928875586
up3__ellipse4,847102,9.55911390834177,92,20,0.3944240492314477,36.12573274202441,0.03409090909090909,88,0.8,93.27148928380302
up3__out_angle_m15,847102,6.375808729776679,92,32,0.3371363907566536,36.36061189592783,0.13924050632911392,79,1.0,-0.022381621932254347
endpoint__ellipse4_orthogonal,847102,7.3178588262129844,84,56,0.34972650148845486,36.52544981543906,0.0,76,0.9732142857142857,101.44823513782467
up3__out_reference,847101,7.919292317943544,98,20,0.35657294042146787,36.686048268164086,0.0,88,0.95,89.03888630306483
up3__circle__core_ou_correlation_0.5,847102,8.80463317276714,93,14,0.3629307998522723,36.353592442770605,0.03614457831325301,83,0.8571428571428572,93.97179566971681
