candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__circle__EE_core_to_out_degree_scale_1.5,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜核→外 E→E 实际入度 × 1.5,-3.6733173747059364,63,-26,37,-0.014448275862068965,-17.586206896551722,-0.3070845796471062,1.7259496676163337,4.963692491994379,3.9534697697642223
up3__circle__EE_same_core_scale_0.75,up3__circle,2511,847102,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 0.75,3.204826695414642,-18,-78,-96,-0.010275862068965518,-12.413793103448276,-0.24227718790541852,-6.217996201329536,-4.711613334254844,-6.865874267341291
endpoint__ellipse4_out_perp20,endpoint__ellipse4,2511,847102,端点原位｜拉长 4:1＋输出横向 ×2,4.599069088537952,-18,4,-14,0.0014827586206896553,2.068965517241379,-0.19432264516293918,0.7697953008388936,-1.204943903057111,-0.37186506705538935
up3__out_angle_p15,up3__out_reference,2511,847102,左核上移3 mm｜左核输出方向 +15°,-2.750303581144453,19,-31,-12,0.01320689655172414,13.448275862068966,0.05976020313209529,-0.2470322886989571,0.9102218536180793,0.24904826437343175
up3__circle__core_ou_correlation_0.5,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜两核 OU 输入相关系数 0.5,0.8848440457905404,-6,-8,-14,-0.0010344827586206886,0.0,-0.002572387227617212,0.39216524216524284,-0.5367567443039141,-0.42364480179661257
endpoint__out_parallel15,endpoint__out_reference,2511,847101,端点原位｜左核输出纵向范围 ×1.5,-0.6389754354870876,-3,7,4,0.002310344827586207,2.0689655172413772,0.2981718799418188,0.03380415269450765,-0.3626143248784768,-0.6125947390823967
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 1.25,-1.6952782290791344,19,3,22,-0.0070344827586206905,-10.344827586206895,-0.244175001508935,3.129178537511871,2.1732669845877393,3.0767103672991416
up3__out_perp15,up3__out_reference,2511,847101,左核上移3 mm｜左核输出横向范围 ×1.5,4.757339401153491,-15,-10,-25,-0.005655172413793104,-9.310344827586206,0.10932572754202208,1.195655270655271,-1.1592369894256684,-0.7753411330593858
endpoint__out_angle_m15,endpoint__out_reference,2511,847102,端点原位｜左核输出方向 −15°,-1.7903843011385812,11,-18,-7,0.009827586206896553,15.517241379310347,0.03183748767923811,-0.940351590285541,1.0111733130601053,-0.33326467928612047
up3__circle__EE_core_to_out_scale_0.75,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 0.75,,-22,-104,-126,-0.014448275862068965,-17.586206896551722,-0.5022938032266262,-5.930531813865148,-3.3825650240744576,-8.24163813279014
up3__out_reference,up3__circle,2612,847202,左核上移3 mm｜离核重采样对照,-0.33984744552316126,-3,-3,-6,0.006275862068965517,8.27586206896552,0.014595726581066004,-0.5294390671874112,0.6577198612596824,0.062469443897169796
up3__ellipse4__II_same_core_scale_0.75,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→I 权重 × 0.75,-1.2331908256043285,4,-23,-19,-0.002827586206896552,-4.137931034482758,0.12131490890739771,-0.9907169990503331,-0.31287580344184107,-0.6900971915052727
endpoint__ellipse4,endpoint__circle,2612,847202,端点原位｜沿端点轴拉长 4:1,2.846697422728628,-8,-9,-17,-0.0018965517241379317,-3.1034482758620694,0.07273874783451184,2.1325910931174086,-1.4812365608825777,-0.5005562053740977
up3__ellipse4__EE_core_to_out_scale_0.75,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 0.75,,-20,-92,-112,-0.005689655172413793,-8.275862068965518,-0.8013018158106416,-10.729724596391263,-2.0892022024097496,-7.994380547592939
up3__circle__II_same_core_scale_0.75,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜同核 I→I 权重 × 0.75,1.662582483882149,-13,-12,-25,-0.00886206896551724,-11.379310344827584,-0.066016981957017,-0.2490028490028493,-1.190176699610662,-0.9623392013201428
endpoint__radius25_dose_matched,endpoint__circle,2511,847102,端点原位｜半径 2.5 mm＋降阈值总量匹配,2.987907144273011,-31,4,-27,0.0007586206896551722,2.068965517241379,-0.0695620323496875,0.8882240664373189,-3.425046651461746,-1.962349625173423
up3__out_perp20,up3__out_reference,2611,847202,左核上移3 mm｜左核输出横向范围 ×2,0.14388192958269386,8,-9,-1,-0.004,-4.13793103448276,-0.050559034664226954,-0.32834097469858925,-0.3375414268271406,0.0057217621972540655
up3__ellipse4_out_perp20,up3__ellipse4,2511,847102,左核上移3 mm｜拉长 4:1＋输出横向 ×2,3.9096185131363512,-16,4,-12,-0.001827586206896552,-3.1034482758620694,-0.03563096443264069,0.44992877492877525,-0.6144861427880297,-0.28266422162551574
up3__ellipse4__EI_same_core_scale_1.25,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 1.25,,-20,-92,-112,-0.005689655172413793,-8.275862068965518,-0.8082122367144072,-11.110351377018043,-4.0355011864445824,-8.009414080145628
up3__ellipse4__EE_core_to_out_degree_scale_1.5,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 实际入度 × 1.5,-0.9085242649511205,18,29,47,-0.005689655172413793,-8.275862068965518,-0.4225917614256815,3.862108262108263,3.7351579238371695,4.928275434333461
