subject,dataset,condition,seed,heldout_event_nll,n_eval_events,top1_next_set_accuracy,stop_brier,stop_accuracy,terminal_stop_probability,nonterminal_stop_probability
epilepsiae_922,epilepsiae,history_1_gru,20260725,1.695783466107819,16728,0.3468437276626162,0.2609257129906016,0.3416773319280283,0.5936616834534211,0.5110850447178977
epilepsiae_922,epilepsiae,history_2_gru,20260725,1.7365760660268428,16728,0.1952622408863474,0.2235248338412957,0.4783181510201009,0.5737828458723075,0.4561476765995623
epilepsiae_922,epilepsiae,history_3_gru,20260725,1.6954891482561414,16728,0.2146064152966404,0.1783653162402316,0.6371960400511932,0.5695863860460841,0.3803260418863707
epilepsiae_958,epilepsiae,history_1_gru,20260725,2.294775785203692,24684,0.1861295202028446,0.2339831651614085,0.5733062993777529,0.5322897708168817,0.47711234200457
epilepsiae_958,epilepsiae,history_2_gru,20260725,2.273013059912499,24684,0.1892672274638256,0.1948153699319462,0.8328422608643541,0.5050139427696329,0.4242559412802265
epilepsiae_958,epilepsiae,history_3_gru,20260725,2.273299661564143,24684,0.18662284758723,0.1913100870157024,0.724020601738563,0.539808792623328,0.4105495636458627
yuquan_chengshuai,yuquan,history_1_gru,20260725,1.449463146624572,5516,0.4493748833737637,0.293154057914617,0.3414317105629662,0.6392721940041283,0.550915725820683
yuquan_chengshuai,yuquan,history_2_gru,20260725,1.458686182384823,5516,0.4296697144989737,0.2282730213301133,0.5121475658444492,0.6088550166340907,0.458599885967043
yuquan_chengshuai,yuquan,history_3_gru,20260725,1.4413682034237822,5516,0.4438141444299309,0.1873173706202838,0.6828634211259323,0.621261402580968,0.3987507440224972
yuquan_chenziyang,yuquan,history_1_gru,20260725,1.8983532908555745,1922,0.25273258239466,0.310651169866249,0.2764075645358452,0.6466284047562435,0.5696340570765552
yuquan_chenziyang,yuquan,history_2_gru,20260725,1.8664618245520772,1922,0.2501460158531498,0.2227739161990164,0.4448838714316531,0.5779580204488353,0.4571912695355463
yuquan_chenziyang,yuquan,history_3_gru,20260725,1.8447383744535533,1922,0.2424697538589904,0.1960237771220112,0.5528151290716905,0.5895038656091864,0.4110519046094473
yuquan_gaolan,yuquan,history_1_gru,20260725,1.9864997352303968,599,0.2540470537448737,0.3483381400461797,0.2289755351681957,0.6693053132266585,0.6017239541060043
yuquan_gaolan,yuquan,history_2_gru,20260725,1.9483274048278247,599,0.2501618821497949,0.2543868536079882,0.3446100917431192,0.5847745412081314,0.4942212152902564
yuquan_gaolan,yuquan,history_3_gru,20260725,1.935401543352958,599,0.2469242391538959,0.2234880816376193,0.4606269113149847,0.5828777008864011,0.4472502902636608
yuquan_hanyuxuan,yuquan,history_1_gru,20260725,2.5897033768118627,1094,0.13542300669507,0.3768815089006115,0.1248573385071901,0.671207537824774,0.62039986610145
yuquan_hanyuxuan,yuquan,history_2_gru,20260725,2.5777111787900626,1094,0.1384053560559951,0.2752287821236208,0.202864642775622,0.5895153012025977,0.5190659274213099
yuquan_hanyuxuan,yuquan,history_3_gru,20260725,2.57129252131286,1094,0.1348143639683506,0.2565235955047337,0.2584455603743437,0.5824898889696022,0.4930235731613272
yuquan_huanghanwen,yuquan,history_1_gru,20260725,1.909948902285617,92,0.2842741935483871,0.3177383531473158,0.3129251700680272,0.6583173741832418,0.5765724893096701
