figure,source,candidate,topology,noise,mode,metric,x,value,support_n
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,local_width_ms_median,1.25,16.0,74
circle_EE_EI_scl,followup,up3__circle,2511,847101,TB,pair_0,1.0,0.0101010101010101,99
circle_EE_EI_scl,followup,follow_circle_out1.125_EI1,2511,847101,TB,pair_0,1.125,0.0512820512820512,78
circle_EE_EI_scl,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,pair_0,1.25,0.05,60
circle_EE_EI_scl,followup,up3__circle,2511,847102,TB,pair_0,1.0,0.02,100
circle_EE_EI_scl,followup,follow_circle_out1.125_EI1,2511,847102,TB,pair_0,1.125,0.0735294117647058,68
circle_EE_EI_scl,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,pair_0,1.25,0.0655737704918032,61
circle_EE_EI_scl,followup,follow_circle_out1_EI0.875,2511,847101,TB,pair_0,1.0,0.0,68
circle_EE_EI_scl,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,pair_0,1.125,0.1267605633802817,71
circle_EE_EI_scl,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,pair_0,1.25,0.2771084337349397,83
circle_EE_EI_scl,followup,follow_circle_out1_EI0.875,2511,847102,TB,pair_0,1.0,0.0,70
