epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788729208,2026-09-07T05:13:28+08:00,1,99,1665,24576,63,188.90
1788729238,2026-09-07T05:13:58+08:00,0,86,1647,24576,57,184.30
1788729238,2026-09-07T05:13:58+08:00,1,99,1665,24576,63,187.67
1788729268,2026-09-07T05:14:28+08:00,0,98,1647,24576,56,183.88
1788729268,2026-09-07T05:14:28+08:00,1,99,1665,24576,63,187.57
1788729298,2026-09-07T05:14:58+08:00,0,58,1647,24576,56,183.45
1788729298,2026-09-07T05:14:58+08:00,1,98,1665,24576,63,187.09
1788729328,2026-09-07T05:15:28+08:00,0,66,1647,24576,56,185.39
1788729328,2026-09-07T05:15:28+08:00,1,99,1665,24576,63,189.73
1788729358,2026-09-07T05:15:58+08:00,0,98,1651,24576,57,186.50
1788729358,2026-09-07T05:15:58+08:00,1,99,1665,24576,63,188.74
1788729388,2026-09-07T05:16:28+08:00,0,98,1651,24576,57,187.18
1788729388,2026-09-07T05:16:28+08:00,1,99,1665,24576,63,188.01
1788729419,2026-09-07T05:16:59+08:00,0,98,1651,24576,57,185.12
1788729419,2026-09-07T05:16:59+08:00,1,87,1665,24576,62,188.25
1788729449,2026-09-07T05:17:29+08:00,0,98,1651,24576,57,186.87
1788729449,2026-09-07T05:17:29+08:00,1,81,1665,24576,63,187.33
1788729479,2026-09-07T05:17:59+08:00,0,99,1651,24576,57,185.16
1788729479,2026-09-07T05:17:59+08:00,1,99,1665,24576,63,187.50
1788729509,2026-09-07T05:18:29+08:00,0,61,1651,24576,56,180.62
1788729509,2026-09-07T05:18:29+08:00,1,98,1665,24576,63,187.06
1788729539,2026-09-07T05:18:59+08:00,0,98,1651,24576,56,185.02
1788729539,2026-09-07T05:18:59+08:00,1,76,1665,24576,62,185.84
1788729569,2026-09-07T05:19:29+08:00,0,98,1651,24576,56,185.28
1788729569,2026-09-07T05:19:29+08:00,1,99,1665,24576,62,187.33
1788729599,2026-09-07T05:19:59+08:00,0,98,1651,24576,56,184.09
1788729599,2026-09-07T05:19:59+08:00,1,92,1665,24576,63,188.72
1788729629,2026-09-07T05:20:29+08:00,0,99,1651,24576,56,185.26
1788729629,2026-09-07T05:20:29+08:00,1,95,1665,24576,62,183.97
1788729659,2026-09-07T05:20:59+08:00,0,98,1651,24576,56,185.82
