z,alpha_G,w_ee_mult,ratio,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,stability,branch_class,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,S_G,divisor,lut_clip_at_root,jacobian_dimension
0.8,4.0,1.1,1.0,0.00813593208995357,0.013953303084228624,8.13593208995357,13.953303084228624,1.5810443232400218e-13,unstable,finite_high_root,0.04354182408786485,0.03778713323268949,6.014009039254563,0.04187667517644235,1.1675067007057693,False,9
1.0,8.0,1.1,1.0,0.00027150869483261826,0.005071934141905865,0.27150869483261825,5.071934141905865,9.162662508062358e-10,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.99,8.0,1.1,1.0,0.00030154826239313837,0.005106382760687327,0.30154826239313837,5.106382760687327,3.3871939541380014e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.98,8.0,1.1,1.0,0.0003305858302933795,0.005139661122680509,0.3305858302933795,5.13966112268051,4.50083763661735e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.97,8.0,1.1,1.0,0.000358486608711163,0.005171617406488379,0.358486608711163,5.171617406488379,1.8096705774531263e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.96,8.0,1.1,1.0,0.0003851072949261168,0.005202090217052167,0.38510729492611684,5.2020902170521675,3.3762738698567274e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.95,8.0,1.1,1.0,0.0004436772969647056,0.005269077325030659,0.4436772969647056,5.2690773250306595,1.505566504800271e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.94,8.0,1.1,1.0,0.000509786204876467,0.005344593368133953,0.509786204876467,5.344593368133953,2.29547283958631e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.93,8.0,1.1,1.0,0.0005776538218641997,0.005422019101567994,0.5776538218641997,5.422019101567994,2.5048539631367106e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.92,8.0,1.1,1.0,0.0006473873460128727,0.005501472733635849,0.6473873460128727,5.5014727336358495,2.801318205181147e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
