id,topology,noise,mode,scope,earlier_test,later_test,p_i_before_j,n,mean,median,variance,q05,q95
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL9,SCL6,0.2765957446808511,47,-14.28793769754053,-21.77496585444169,143.9854352500497,-22.148154240508482,6.110191507951502
t2511_n847401,2511.0,847401.0,TB,complete4,SCL9,SCL6,0.15,40,-17.281325819935944,-21.861573180172854,107.69471862601173,-22.160180503919538,6.372024779177916
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL8,SCL7,0.16666666666666666,42,-3.5977286142759035,-5.1093861591907626,15.336285796382393,-5.360949365540728,3.531632950402672
t2511_n847401,2511.0,847401.0,TB,complete4,SCL8,SCL7,0.15,40,-3.8075915735061527,-5.11080995989073,14.731429166948756,-5.365005061241573,3.6305393270258595
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL8,SCL6,0.08888888888888889,45,-10.666252443647403,-13.624611588522384,44.58466053177045,-13.907866717359866,6.830961800944057
t2511_n847401,2511.0,847401.0,TB,complete4,SCL8,SCL6,0.075,40,-11.52929145648746,-13.63577822336265,34.73580890358763,-13.909293502852687,1.1651878030493674
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL7,SCL6,0.07142857142857142,42,-7.36348522843974,-8.376311147007755,15.6112487444226,-8.911639134320376,4.521713161734034
t2511_n847401,2511.0,847401.0,TB,complete4,SCL7,SCL6,0.05,40,-7.721699882981307,-8.38719645794481,10.67461358884293,-8.926152339972987,-4.857387369158853
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL9,SCL8,0.5909090909090909,88,0.6259140055959708,2.551214001952758,61.205888325039,-8.42541992286824,10.60430097846201
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL9,SCL8,0.5068493150684932,73,-0.899450935772209,0.7612479476856606,58.437844698876724,-8.434399641164054,9.662602798931038
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL9,SCL7,0.4805194805194805,77,-1.988083477383403,-3.1521712671237765,180.89635220593476,-13.72494057619333,17.239226715528456
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL9,SCL7,0.4931506849315068,73,-1.3284673591928904,-0.6377420048738713,160.64959897999793,-13.692296040403017,17.26267870956226
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL9,SCL6,0.475,120,-5.3406832413530845,-0.6090541490821124,164.58874550842503,-22.080122916971778,12.388042207676971
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL9,SCL6,0.3424657534246575,73,-8.32050816450868,-7.504171588814643,203.50499818437163,-22.07649393487518,12.624941925003075
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL8,SCL7,0.5176470588235295,85,0.00481193706381793,2.4816732690887875,32.57849966448956,-5.3630471920252605,8.207592709513118
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL8,SCL7,0.4520547945205479,73,-0.4290164234206813,-4.957365310110617,35.877002096364734,-5.380010968270653,8.255170225722393
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL8,SCL6,0.2653061224489796,98,-5.753093857085947,-9.634488972452345,93.41880175239774,-13.881142187301975,10.316588350146048
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL8,SCL6,0.2054794520547945,73,-7.421057228736473,-12.544931034744877,85.22930396254442,-13.887563767664687,10.203675247432693
t2511_n847402,2511.0,847402.0,ALL,pairwise_coparticipating,SCL7,SCL6,0.3541666666666667,96,-3.9762887445921016,-8.308975838575861,78.58237552958876,-17.3109307232628,7.972430721100295
t2511_n847402,2511.0,847402.0,ALL,complete4,SCL7,SCL6,0.1917808219178082,73,-6.992040805315791,-8.48220311991463,57.1981829237036,-17.825645934698876,7.065144208597484
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL9,SCL8,1.0,37,5.931297489165721,7.0280078151590715,10.131830060497172,1.5493522943179414,9.975975335016118
t2511_n847402,2511.0,847402.0,TA,complete4,SCL9,SCL8,1.0,27,5.17250503741732,5.137695847166469,8.854254280259386,1.5035371154484891,9.217273710565133
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL9,SCL7,0.9655172413793104,29,10.279085552735916,10.477819905645447,34.37079322746886,3.8518824088334442,17.38180224502703
t2511_n847402,2511.0,847402.0,TA,complete4,SCL9,SCL7,1.0,27,10.710207006188066,10.477819905645447,29.759906762388884,4.26472188584521,17.40947349894909
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL9,SCL6,0.7166666666666667,60,3.6695223566365107,1.9624593796118006,29.822866250128772,-2.6117307942362458,12.783843900050304
t2511_n847402,2511.0,847402.0,TA,complete4,SCL9,SCL6,0.7407407407407407,27,6.539653581872362,10.08516845988197,44.00901842498641,-2.4553743780918014,13.664120146977803
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL8,SCL7,1.0,37,4.94898004712308,3.2491198517345765,6.245520370606624,2.5307218014640966,8.335036782183305
t2511_n847402,2511.0,847402.0,TA,complete4,SCL8,SCL7,1.0,27,5.537701968770745,5.3401240584789775,6.639469219216062,2.6236187249114664,8.373248041827264
