subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_590,20260725,20260727,4,0.4097542048268577,0.7479550509727693
epilepsiae_590,20260725,20260727,5,0.39251687507409116,0.7421833028125097
epilepsiae_590,20260726,20260727,0,0.6017727674678328,0.9893713664056188
epilepsiae_590,20260726,20260727,1,0.5877020035934416,0.9901497657090975
epilepsiae_590,20260726,20260727,2,0.5732079026335035,0.9905193730711616
epilepsiae_590,20260726,20260727,3,0.5584010194001504,0.9905388064926451
epilepsiae_590,20260726,20260727,4,0.5434219465600352,0.9902597648170373
epilepsiae_590,20260726,20260727,5,0.5284443246098459,0.989727613171274
epilepsiae_620,20260725,20260726,0,0.879620299506981,0.8379148278227507
epilepsiae_620,20260725,20260726,1,0.873436142532979,0.8419078776138827
epilepsiae_620,20260725,20260726,2,0.8669698629899155,0.8458857658892287
epilepsiae_620,20260725,20260726,3,0.8602389398022485,0.8498401531103557
epilepsiae_620,20260725,20260726,4,0.8532674543863702,0.8537642957087888
epilepsiae_620,20260725,20260726,5,0.8460867013267813,0.8576525419919918
epilepsiae_620,20260725,20260727,0,0.9352342988134228,0.9103404071742879
epilepsiae_620,20260725,20260727,1,0.928263642287866,0.9084472044668299
epilepsiae_620,20260725,20260727,2,0.9203123249011312,0.9063764780203124
epilepsiae_620,20260725,20260727,3,0.9112924180357174,0.9041435739440524
epilepsiae_620,20260725,20260727,4,0.9011127214159306,0.9017637315209902
epilepsiae_620,20260725,20260727,5,0.8896792183932726,0.8992519520924582
epilepsiae_620,20260726,20260727,0,0.9394876122869749,0.9882988134476253
epilepsiae_620,20260726,20260727,1,0.9406479135725624,0.989918699803566
epilepsiae_620,20260726,20260727,2,0.9415707029512994,0.9914282412454682
epilepsiae_620,20260726,20260727,3,0.9421992871573265,0.9928103876547728
epilepsiae_620,20260726,20260727,4,0.9424665914864678,0.994050781749914
epilepsiae_620,20260726,20260727,5,0.9422934055971923,0.9951375488517454
epilepsiae_635,20260725,20260726,0,0.7825348057944495,0.5927022893360004
epilepsiae_635,20260725,20260726,1,0.7717054546008079,0.6053036467803323
epilepsiae_635,20260725,20260726,2,0.7604450218700946,0.6174824462410976
epilepsiae_635,20260725,20260726,3,0.7487789803538989,0.6292261994694677
epilepsiae_635,20260725,20260726,4,0.7367409281618944,0.6405272235386394
epilepsiae_635,20260725,20260726,5,0.7243731384864609,0.6513821113485182
epilepsiae_635,20260725,20260727,0,0.7478122010001808,0.5703328813216991
epilepsiae_635,20260725,20260727,1,0.7435028065688581,0.5705060400766357
epilepsiae_635,20260725,20260727,2,0.7390131335036946,0.5704996112480791
epilepsiae_635,20260725,20260727,3,0.734342794401328,0.5703345079293175
epilepsiae_635,20260725,20260727,4,0.7294935691940441,0.5700298444979409
epilepsiae_635,20260725,20260727,5,0.7244695653096895,0.5696026636922252
epilepsiae_635,20260726,20260727,0,0.7056145916046264,0.9745843543564077
epilepsiae_635,20260726,20260727,1,0.7008281719499254,0.9728429459023379
epilepsiae_635,20260726,20260727,2,0.6959273982824767,0.9709525071322007
epilepsiae_635,20260726,20260727,3,0.6909150270916647,0.9689285847087996
epilepsiae_635,20260726,20260727,4,0.6857943543278855,0.9667821970441177
epilepsiae_635,20260726,20260727,5,0.6805691519757033,0.9645213410749768
epilepsiae_922,20260725,20260726,0,0.8838374408947112,0.3404436104205853
epilepsiae_922,20260725,20260726,1,0.883571519330077,0.36266556911944686
epilepsiae_922,20260725,20260726,2,0.8825252125275568,0.3838336291471996
epilepsiae_922,20260725,20260726,3,0.8807374797646668,0.40399633339486535
epilepsiae_922,20260725,20260726,4,0.87826301123797,0.4231992514475282
epilepsiae_922,20260725,20260726,5,0.8751691548670278,0.4414850514519236
epilepsiae_922,20260725,20260727,0,0.5939706095521858,0.8389926995539138
epilepsiae_922,20260725,20260727,1,0.5823552846116906,0.8317057358933455
epilepsiae_922,20260725,20260727,2,0.5694908760313588,0.8228197840059908
epilepsiae_922,20260725,20260727,3,0.5554145389358567,0.812255879037083
epilepsiae_922,20260725,20260727,4,0.5401847511795201,0.7999746195720552
epilepsiae_922,20260725,20260727,5,0.5238787275894784,0.7859833590649538
epilepsiae_922,20260726,20260727,0,0.4970224850296743,0.4749835208354301
epilepsiae_922,20260726,20260727,1,0.478078397017704,0.5243420394156166
epilepsiae_922,20260726,20260727,2,0.45882333262271713,0.5718900450752907
epilepsiae_922,20260726,20260727,3,0.43934216629522843,0.6172585580585666
epilepsiae_922,20260726,20260727,4,0.4197289226072838,0.6600827545326956
epilepsiae_922,20260726,20260727,5,0.4000856620612586,0.7000206630615146
epilepsiae_958,20260725,20260726,0,0.8774789489170989,0.7124145965917423
epilepsiae_958,20260725,20260726,1,0.8680933986669712,0.7238525307827193
epilepsiae_958,20260725,20260726,2,0.8573955816077649,0.7326919081910115
epilepsiae_958,20260725,20260726,3,0.8451279089683263,0.7395317926206313
epilepsiae_958,20260725,20260726,4,0.8309702782469901,0.7448164821159226
epilepsiae_958,20260725,20260726,5,0.814534170895868,0.7488805209140613
epilepsiae_958,20260725,20260727,0,0.8056790560150773,0.8612060329979666
epilepsiae_958,20260725,20260727,1,0.7876741103035686,0.886905515879633
epilepsiae_958,20260725,20260727,2,0.7662951380840268,0.9075254202546444
epilepsiae_958,20260725,20260727,3,0.7412553243523158,0.9223660832320513
epilepsiae_958,20260725,20260727,4,0.7123556549195343,0.9309591222797644
epilepsiae_958,20260725,20260727,5,0.6795281386324443,0.9331275619020467
epilepsiae_958,20260726,20260727,0,0.7359143909429985,0.37097274786599477
epilepsiae_958,20260726,20260727,1,0.7247527239326562,0.43401645407328304
epilepsiae_958,20260726,20260727,2,0.7127113126038979,0.4962823006112576
epilepsiae_958,20260726,20260727,3,0.7000029986319358,0.5566397975961976
epilepsiae_958,20260726,20260727,4,0.686959552840468,0.6139749470289265
epilepsiae_958,20260726,20260727,5,0.6740449784665796,0.6672842503747695
yuquan_chengshuai,20260725,20260726,0,0.9022944352747523,0.5763859964367833
yuquan_chengshuai,20260725,20260726,1,0.8984585383886853,0.605744936472033
yuquan_chengshuai,20260725,20260726,2,0.8942829947204265,0.6329292821416589
yuquan_chengshuai,20260725,20260726,3,0.8897343921368004,0.6579776780528196
