comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
lag1_contribution,event_contact_choice_nll,epilepsiae,18,0.006670832633972279,0.009623977159632069,11,0.480682373046875,0.4171142578125,-0.0047026872634888806,0.013723015785217285
lag1_contribution,event_contact_choice_nll,yuquan,16,0.007539570331573375,0.010877300727794467,13,0.021270751953125,0.021392822265625,0.003360125422477609,0.014532923698425293
lag1_contribution,event_contact_contribution_nll,all,34,0.006192922592163308,0.008934498712323229,24,0.024306510109454393,0.02732317999470979,0.0029330253601072,0.012147068977355957
lag1_contribution,event_contact_contribution_nll,epilepsiae,18,0.0051383972167969305,0.007413140182790583,11,0.480682373046875,0.39273834228515625,-0.004256844520568737,0.012448310852050781
lag1_contribution,event_contact_contribution_nll,yuquan,16,0.006637394428253174,0.009575736026064891,13,0.021270751953125,0.021392822265625,0.0031751394271850586,0.013152122497558594
lag1_contribution,event_continue_nll,all,34,0.006871115416288355,0.009912924136454915,31,7.660128176212311e-07,1.2444797903299332e-07,0.005488406866788899,0.0095634292811155
lag1_contribution,event_continue_nll,epilepsiae,18,0.004725888371467549,0.006818015717311052,15,0.007537841796875,0.00336456298828125,0.0023580491542815954,0.008974418044090299
lag1_contribution,event_continue_nll,yuquan,16,0.010170131921768199,0.014672398888721525,16,3.0517578125e-05,3.0517578125e-05,0.006699115037918091,0.011266883462667451
lag1_contribution,event_stop_contribution_nll,all,34,0.00040744990110394563,0.000587825951733361,19,0.6075913612730801,0.7356559975305572,-0.0007376745343208035,0.0014643520116805753
lag1_contribution,event_stop_contribution_nll,epilepsiae,18,0.002322442829608945,0.0033505767530249567,15,0.007537841796875,0.00896453857421875,0.0011714175343514044,0.0033449083566665094
lag1_contribution,event_stop_contribution_nll,yuquan,16,-0.0017592757940291803,-0.002538098463601892,4,0.076812744140625,0.00762939453125,-0.0035807788372038962,-0.00014403462409978696
lag1_contribution,event_terminal_stop_nll,all,34,-0.046073198318481445,-0.06646957473196691,6,0.00019512558355927467,4.2355735786259174e-05,-0.09812057018280029,-0.016060352325439453
