subject,seed,condition,decision_contract_sha256,n_decisions
epilepsiae_590,20260725,history_3,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,history_3_rank_shuffle,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,lag0_removed,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,lag1_removed,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,lag2_removed,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,lag3plus_removed,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,linear_state,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,linear_state_rank_shuffle,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,unordered_prefix,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_620,20260725,full_history,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,history_1,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,history_2,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,history_3,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,history_3_rank_shuffle,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,lag0_removed,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,lag1_removed,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,lag2_removed,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,lag3plus_removed,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,linear_state,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,linear_state_rank_shuffle,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_620,20260725,unordered_prefix,592c8ccf2ce21c1297fa6882958963daa36e311f57f0b77564568f291930f7e3,34691
epilepsiae_635,20260725,full_history,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,history_1,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,history_2,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,history_3,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,history_3_rank_shuffle,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,lag0_removed,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,lag1_removed,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,lag2_removed,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
