q,phase,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.855,0.0,0.0,bounded_CCO,True,False,1.8426320349126919e-06,0.00040069937290897385,4.787467932091619e-06,C,10,1146.0910946442184,4.0781776792655744e-08,128.1779259443283,7.550224752798342,False,0,0,"[1146.090851644402, 2292.1819372199366, 3438.273135944638, 4584.364316140527, 5730.455323214898, 6876.546443956785, 8022.637677618847, 9168.728763316856, 10314.819805716777, 11460.910961551503]",C,11,1146.091116749252,6.870483750754275e-08,83.02523195743561,4.766318506743395,False,0,0,"[7.275596215050654, 1153.366643976084, 2299.4576755939006, 3445.5487916097004, 4591.63999116613, 5737.731101883094, 6883.822159765215, 8029.913301778503, 9176.004527062263, 10322.09556796533, 11468.18665202626]",O_unresolved,0,,,6.547767668962479,0.93114799258723,False,0,0,[]
0.855,0.0,0.012776645604,LLL,False,False,,,1.1842943618833867e-09,L,0,,,128.07635962963104,3.224703449358097,False,0,0,[],L,1,,,82.93275535106659,2.2070470889714247,False,0,0,[7.278312799157726],L,0,,,6.498708855360746,0.8664192696206063,False,0,0,[]
0.855,0.0,0.022776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,127.9982328414917,2.6948670856654644,False,0,0,[],L,1,,,82.86027610301971,1.9491284620016813,False,0,0,[7.280442759410484],L,0,,,6.4841690473258495,0.8552900981158018,False,0,0,[]
0.855,0.0,0.037776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,127.88079679012299,2.413172274827957,False,0,0,[],L,1,,,82.75140076875687,1.805099076591432,False,0,0,[7.283643891862204],L,0,,,6.4623998478055,0.8492434280924499,False,0,0,[]
0.855,0.0,0.062776645604,LLL,False,False,,,3.4212601887320364e-18,L,0,,,127.68445909023285,2.1234231535345316,False,0,0,[],L,1,,,82.56953209638596,1.6505472594872117,False,0,0,[7.288995691438589],L,0,,,6.426224019378424,0.8428919245488942,False,0,0,[]
0.855,0.0,0.112776645604,LLL,False,False,,,3.4212601887320364e-18,L,0,,,127.28945910930634,1.7604667227715254,False,0,0,[],L,1,,,82.20420777797699,1.4453982003033161,False,0,0,[7.299761914520657],L,0,,,6.354272365570068,0.834682781714946,False,0,0,[]
0.855,0.0,0.212776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.48996710777283,1.3318689307197928,False,0,0,[],L,1,,,81.4671665430069,1.180961960926652,False,0,0,[7.3215484359969905],L,0,,,6.211982574313879,0.8244763012044132,False,0,0,[]
0.855,0.25,0.0,bounded_CCO,True,False,1.835026943658044e-06,0.0004006994195562737,4.7874683299415145e-06,C,10,1146.0910946740075,4.075575563133565e-08,128.1779259443283,7.550224733744337,False,0,0,"[1146.0908907910655, 2292.181976235778, 3438.2731748305246, 4584.364355377931, 5730.45536232088, 6876.546482932211, 8022.637716464581, 9168.728802513393, 10314.819844782154, 11460.911000486603]",C,11,1146.091116771391,6.860581538939324e-08,83.02536606788635,4.7663185304447175,False,0,0,"[7.275591347095174, 1153.366683168389, 2299.4577146884435, 3445.548830607489, 4591.640030068129, 5737.731141044954, 6883.822198829621, 8029.913340746462, 9176.004565934754, 10322.095607096833, 11468.186691060635]",O_unresolved,0,,,6.547768134623766,0.9311479930519619,False,0,0,[]
0.855,0.25,0.012776645604,LLL,False,False,,,1.1842943695161701e-09,L,0,,,128.0764788389206,3.224703449358097,False,0,0,[],L,1,,,82.93288201093674,2.2070470889714247,False,0,0,[7.2783079166296325],L,0,,,6.498747505247593,0.8664192696206063,False,0,0,[]
0.855,0.25,0.022776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,127.99835205078125,2.6948670856654644,False,0,0,[],L,1,,,82.86040276288986,1.9491284620016813,False,0,0,[7.280437865443496],L,0,,,6.484207697212696,0.8552900981158018,False,0,0,[]
0.855,0.25,0.037776645604,LLL,False,False,,,3.517633715175192e-18,L,0,,,127.88091599941254,2.413172274827957,False,0,0,[],L,1,,,82.75152742862701,1.805099076591432,False,0,0,[7.2836389806819515],L,0,,,6.462438497692347,0.8492434280924499,False,0,0,[]
