condition_index,candidate_id,name,placement,unit,N,observation_loss,R_unsupported,total_loss,node_gain,E_to_E_weight_scale,E_to_I_weight_scale,I_to_E_weight_scale,tau_d_GABA_ms,participation,centroid_structure,local_shape,recruitment,joint_envelope
17,native_reg_anchor1_A_minus,Place 1: native A -,1,topo_6101_dyn_7101,39,0.4321584404114381,0.8552089244699415,0.6771162553247246,0.8218097848816511,1.1765416243406253,1.1304431914837434,1.144052983764684,15.571408564880691,0.09881108398577043,0.192120609547856,1.3626663367354235,0.18898079104107587,0.31821338074706473
17,native_reg_anchor1_A_minus,Place 1: native A -,1,topo_6102_dyn_7101,38,0.3958020141226745,0.8538861346755889,0.6403809418560653,0.8218097848816511,1.1765416243406253,1.1304431914837434,1.144052983764684,15.571408564880691,0.08049396150549337,0.1386465310323095,1.3717096464584917,0.13949942400571405,0.24866050761136388
18,native_reg_anchor2_A_plus,Place 2: native A +,2,topo_6101_dyn_7101,25,0.41439896482256,0.8486418744339036,0.6574757771162223,1.0258172475992449,1.013775007976488,0.9834874312731685,0.9432026913114026,19.082517673446628,0.11457902294680687,0.1351487325018059,1.2024730330257876,0.16278513973160744,0.4570088959067921
18,native_reg_anchor2_A_plus,Place 2: native A +,2,topo_6102_dyn_7101,28,0.5595927580976616,0.8033234836639045,0.7896890066240715,1.0258172475992449,1.013775007976488,0.9834874312731685,0.9432026913114026,19.082517673446628,0.1557005304566556,0.1542734217989677,1.343656082459294,0.3603091392614531,0.7840246165119382
19,native_reg_anchor2_A_minus,Place 2: native A -,2,topo_6101_dyn_7101,55,0.40731881262447783,0.6772869465379338,0.6013143682672738,1.0829853182096005,1.0564631301878176,1.1070310623329638,0.901642627069121,23.720812719246855,0.06806494533627944,0.13668906073422682,1.2558476483083194,0.16602847946482935,0.4099639292787338
19,native_reg_anchor2_A_minus,Place 2: native A -,2,topo_6102_dyn_7101,56,0.44709028940099865,0.7142773687501861,0.6516810256348406,1.0829853182096005,1.0564631301878176,1.1070310623329638,0.901642627069121,23.720812719246855,0.07551328383199225,0.17353522618117645,1.246526696244867,0.2326500255881873,0.5072262151587705
20,native_reg_anchor3_A_plus,Place 3: native A +,3,topo_6101_dyn_7101,34,0.482038486936581,0.9999805338486325,0.768463288547725,0.7373052462590122,0.9473264673694741,1.0662334962272322,0.9503880595814375,19.452743574751256,0.11737420240844387,0.18347681041262517,1.3710354710841,0.26430247208677404,0.47400347869096215
20,native_reg_anchor3_A_plus,Place 3: native A +,3,topo_6102_dyn_7101,32,0.5700705876889604,0.8980136973456098,0.8272889898476175,0.7373052462590122,0.9473264673694741,1.0662334962272322,0.9503880595814375,19.452743574751256,0.174146406318656,0.3128173150016737,1.2591902567287074,0.3875207487773027,0.7166782116184621
21,native_reg_anchor3_A_minus,Place 3: native A -,3,topo_6101_dyn_7101,34,0.4517174420393574,0.901258496252317,0.709865253173152,0.6626947537409877,1.0526735326305259,0.9337665037727677,1.0496119404185627,16.547256425248744,0.06573026271598381,0.3359842382793711,1.2454065955328697,0.23249973070819938,0.37896638296036295
21,native_reg_anchor3_A_minus,Place 3: native A -,3,topo_6102_dyn_7101,46,0.43769295167945704,0.9223836483649795,0.7018916481035753,0.6626947537409877,1.0526735326305259,0.9337665037727677,1.0496119404185627,16.547256425248744,0.05626225306118699,0.20797004140746692,1.3119272732841933,0.15579012146204338,0.45651506918239465
