candidate,reference,axis,shape,EE_out,EI,noise,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__ellipse4__EE_core_to_out_scale_1.25,up3__circle__EE_core_to_out_scale_1.25,shape,ellipse4,1.25,1.0,847102,TA,-20.0,53,0.3819325328759291,-0.001039555070429965,0.0,-0.08839336763865072,0.026361969620026376,-5.996304055297969,0.0,8.0,-8.290966183580167,0.09404017124640406,0.0,25.0,8.0,0.2635166892958969,0.00635409153301858
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,EE_out,ellipse4,1.25,1.0,847102,TB,24.0,92,0.01555472263868074,0.012471037208668267,0.0,0.017166416791604217,-0.004992143723151488,-0.5425541820150102,0.0,-4.0,6.233515646348678,0.008704520436151858,1.0,85.0,16.5,0.5858260861203188,-0.062439830108541816
up3__ellipse4__EE_core_to_out_scale_1.25,up3__circle__EE_core_to_out_scale_1.25,shape,ellipse4,1.25,1.0,847102,TB,39.0,77,0.13003806538289298,-0.0011704596344095375,0.0,0.019386127546351023,0.015686432570335584,0.14257305566206924,0.0,2.0,-3.9439149964109674,-0.014547862469090192,0.0,0.0,-5.5,-0.0576750995696278,3.013625378400775e-05
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847102,ALL,16.0,146,0.19068154912903768,0.001245330012453305,0.0,-0.04009230623675741,-0.14311555204595622,-31.073288415880597,0.0,-21.0,4.014222826844161,0.0008368498391100598,0.0,36.0,9.0,0.3140041622189145,-0.022705192989518785
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847102,ALL,32.0,130,-0.09477682811016142,0.004895104895104918,0.0,-0.00724451803527848,-0.12858214247347194,-32.260212508984296,0.0,-32.0,-12.728466622300402,0.1303664137156825,0.0,12.0,11.5,0.22575924854485052,0.0109835894239525
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847102,TA,9.0,57,0.42344497607655507,0.0031897926634769647,0.0,-0.09825943283556171,-0.11603986342004194,-3.527116387177557,0.0,6.0,-1.6818116646977614,0.008662334125453947,0.0,23.0,8.5,0.1797431951638888,-0.006054322961887015
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847102,TA,17.0,49,-0.16821273964131112,0.0018552875695732052,0.0,-0.013404438206130992,-0.07597120439551999,-70.89849983550175,0.0,-66.0,-7.879016346415028,0.14488915623710613,0.0,-16.0,11.5,-0.3520679774050546,0.014889740097714266
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847102,TB,7.0,89,0.051615168539325795,0.0,0.0,0.00899235531664147,-0.03966811105796142,-0.9263114941704771,0.0,-2.0,1.3116074059889797,-0.00586919505629549,1.0,63.0,12.5,0.38112560902131243,-0.035506364916890076
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847102,TB,15.0,81,-0.032793209876543106,0.006734006734006592,0.0,0.005856393865477871,-0.016884668565067762,-0.7463294862091061,0.0,-10.0,3.682555314329875,0.1123368370052816,0.0,51.0,11.5,0.4819217490869301,-0.03270785745420346
up3__circle__EI_same_core_scale_0.75,up3__circle,EI,circle,1.0,0.75,847102,ALL,37.0,127,-0.43319089686959855,0.04128620563227814,0.0,0.0510382247131948,-0.1895094518501128,-42.98351032573373,0.0,-42.0,40.846252828056095,0.2069818399075874,1.0,67.0,22.0,0.3675121188634147,-0.05473960355187857
