count,arm,seed,status,n_returned_readable,n_distribution_events,mode_A_count,mode_B_count,ood_fraction_returned_readable,multishaft_fraction_distribution,scl_recruitment_fraction_distribution,mode_b_fraction,mode_proportion_js,natural_alignment,weak_mode_score,mean_mode_score,recruitment,precedence,profile,event_cloud
3,hand_dual_core,1567,OK,75,52,23,29,0.30666666666666664,0.5,0.3894230769230769,0.5576923076923077,0.007974229709985889,0.6515151515151515,1.5297636779250632,1.5289235180799456,1.4273199028940051,1.4171525819840092,1.2108622068459725,2.060359380595796
3,hand_dual_core,1568,OK,92,54,40,14,0.41304347826086957,0.5925925925925926,0.4305555555555556,0.25925925925925924,0.12018500796524066,0.7454545454545455,1.920829814838985,1.4968463852948233,1.629983300179764,1.376875937991554,1.4496286432837717,1.5308976597242043
3,hand_dual_core,1569,OK,89,48,24,24,0.4606741573033708,0.4375,0.359375,0.5,0.019092127560847355,0.875,3.405850366837112,3.247264778075899,3.5748761434281358,3.131436881061803,2.3956078471755204,3.8871382406381363
3,hand_dual_core,1570,OK,86,60,27,33,0.3023255813953488,0.5166666666666667,0.42916666666666664,0.55,0.009187077606975846,0.9348739495798319,3.2085909789388136,2.099580130362785,1.8654089048679299,1.8084154684803424,2.1350885384138394,2.589407609689028
3,hand_dual_core,1571,OK,80,52,21,31,0.35,0.5192307692307693,0.42788461538461536,0.5961538461538461,0.0031693623465243632,0.7583333333333333,2.588567720634999,1.656642929588953,1.1247925075314422,1.428574653436707,2.1665038306552127,1.906700726732451
3,hand_dual_core,1572,OK,85,51,20,31,0.4,0.7058823529411765,0.5588235294117647,0.6078431372549019,0.002131300273887072,0.5523809523809524,1.2122606304698862,1.0017527328844895,0.8865811732631469,1.0127827846998003,0.7840076878236222,1.3236392857513888
3,continuous_free_field,1561,OK,84,45,13,32,0.4642857142857143,0.8,0.7,0.7111111111111111,0.0021710132751744556,0.8236363636363637,1.9077162081621086,1.7134059832405022,1.7098741573383864,2.0276643993511234,1.4523482650952317,1.6637371111772672
3,continuous_free_field,1562,OK,81,49,14,35,0.3950617283950617,0.8571428571428571,0.7193877551020408,0.7142857142857143,0.0024572011375393332,0.575,0.9872853407249432,0.9558401059059265,0.6943665738162857,0.9970561608428692,1.2159482301780078,0.9159894587865434
3,continuous_free_field,1563,OK,74,47,18,29,0.36486486486486486,0.8085106382978723,0.6968085106382979,0.6170212765957447,0.0014570586684391606,0.6282051282051282,1.8636880998462677,1.5459407456639744,1.3618805231671214,1.7984922826626288,1.2413445203524542,1.782045656473694
3,continuous_free_field,1564,OK,74,46,18,28,0.3783783783783784,0.6956521739130435,0.625,0.6086956521739131,0.002063427310268248,0.548582995951417,2.813437737942998,2.173105904659606,1.6691915420741306,2.2604034017782713,2.5365387736088407,2.226289901177181
3,continuous_free_field,1565,OK,82,52,9,43,0.36585365853658536,0.8269230769230769,0.6730769230769231,0.8269230769230769,0.02666486657020494,0.6349206349206349,0.6839640937578082,0.6832202391620552,0.362807859923183,0.7478752906838817,0.9616725922327527,0.6605252138084036
3,continuous_free_field,1566,OK,95,44,14,30,0.5368421052631579,0.9090909090909091,0.7613636363636364,0.6818181818181818,0.00038205382358591066,0.8276353276353277,2.4064511656172827,1.9645349697095678,2.115291767214143,2.199404959199946,1.2249196880760767,2.3185234643481065
3,continuous_free_field,1567,OK,76,50,19,31,0.34210526315789475,0.8,0.665,0.62,0.0012651356834099316,0.5467032967032968,2.1288307824837864,1.9359981444026686,1.8890818650768568,1.2454667349620796,2.5589246158035164,2.050519361768222
3,continuous_free_field,1568,OK,76,49,19,30,0.35526315789473684,0.7346938775510204,0.6581632653061225,0.6122448979591837,0.0017923766761086812,0.5836120401337793,2.05221767135861,1.3806005523323164,0.5587328849766272,1.7759881279106882,1.749717456647383,1.4379637397945675
3,continuous_free_field,1569,OK,87,47,16,31,0.45977011494252873,0.7659574468085106,0.6808510638297872,0.6595744680851063,3.07995085391835e-07,0.6238095238095238,1.1039028598516674,0.9351227323884639,0.4327962526984733,1.2464656959803304,1.274275626642979,0.7869533542320728
3,continuous_free_field,1570,OK,84,49,17,32,0.4166666666666667,0.7755102040816326,0.6938775510204082,0.6530612244897959,4.068863205882985e-05,0.5323076923076924,2.1737489854363243,1.7163870246468744,0.8779600684110889,2.238305274504185,1.9516055271960764,1.7976772284761475
3,continuous_free_field,1571,OK,96,49,24,25,0.4895833333333333,0.7755102040816326,0.6632653061224489,0.5102040816326531,0.01678642165851578,0.6578947368421053,1.149578969646688,0.9804706365261728,0.773316586798666,1.271331288823537,0.8007546103510033,1.0764800601314857
3,continuous_free_field,1572,OK,80,43,10,33,0.4625,0.8837209302325582,0.7383720930232558,0.7674418604651163,0.010199711595798466,0.7785714285714285,1.5232368317906446,1.3000301216287733,1.0120285574786334,0.9375497254860877,1.9275353245678628,1.3230068789825085
