horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
1800.0,B+S(P_local_seed3),continuous:span,27,11,-0.0008939048202143418,0.44206833839416504,0,0,
1800.0,B+S(P_local_seed3),continuous:band_energy,25,11,-0.0013648199544116224,0.6900379657745361,2,0,
1800.0,B+S(P_local_seed3),continuous:band_peak,27,8,-0.0004983321392482143,0.052238985896110535,0,0,
1800.0,B+S(P_local_seed3),continuous:embedding,27,6,-0.0012653059796556843,0.005924612283706665,0,0,
1800.0,B+S(P_memoryless_seed1),count,27,15,0.00015216256353234314,0.7011080384254456,0,0,
1800.0,B+S(P_memoryless_seed1),participation,27,16,0.0001870690573937961,0.44206833839416504,0,0,
1800.0,B+S(P_memoryless_seed1),continuous,27,19,8.254805364860118e-05,0.052238985896110535,0,0,
1800.0,B+S(P_memoryless_seed1),continuous:size,27,15,5.776918193478586e-05,0.7011080384254456,0,0,
1800.0,B+S(P_memoryless_seed1),continuous:span,27,15,2.708070846990651e-05,0.7011080384254456,0,0,
1800.0,B+S(P_memoryless_seed1),continuous:band_energy,25,15,0.00020745782332687313,0.42435622215270996,2,0,
1800.0,B+S(P_memoryless_seed1),continuous:band_peak,27,13,-1.3645414743024276e-05,1.0,0,0,
1800.0,B+S(P_memoryless_seed1),continuous:embedding,27,14,8.182114582533373e-05,1.0,0,0,
1800.0,B+S(P_slow_seed1),count,26,16,0.0001779992810622133,0.32693958282470703,1,0,
1800.0,B+S(P_slow_seed1),participation,27,7,-0.0013896420863057646,0.0191572904586792,0,0,
1800.0,B+S(P_slow_seed1),continuous,27,10,-0.0019067439486670779,0.24778856337070465,0,0,
1800.0,B+S(P_slow_seed1),continuous:size,27,12,-0.00022760190883897025,0.7011080384254456,0,0,
1800.0,B+S(P_slow_seed1),continuous:span,27,9,-0.0010652158370982878,0.12207812070846558,0,0,
1800.0,B+S(P_slow_seed1),continuous:band_energy,25,13,0.0004337717047886436,1.0,2,0,
1800.0,B+S(P_slow_seed1),continuous:band_peak,27,11,-0.0006778031973979637,0.44206833839416504,0,0,
1800.0,B+S(P_slow_seed1),continuous:embedding,27,6,-0.004413984184254538,0.005924612283706665,0,0,
1800.0,B+S(P_slow_seed2),count,25,14,6.159398371785585e-06,0.6900379657745361,2,0,
1800.0,B+S(P_slow_seed2),participation,26,10,-0.0003023152049650979,0.32693958282470703,1,0,
1800.0,B+S(P_slow_seed2),continuous,26,7,-0.0017803106877071206,0.028959274291992188,1,0,
1800.0,B+S(P_slow_seed2),continuous:size,26,14,0.000245710254264897,0.8450189828872681,1,0,
1800.0,B+S(P_slow_seed2),continuous:span,26,8,-0.0013655841690349835,0.07551869750022888,1,0,
