relpath,size_bytes,mtime,md5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0030.head,668,1618048788.0,950a22447f231343022cca4389af9efd
inv/pat_108402/adm_1084102/rec_108401102/108401102_0030_gpu.npz,230464,1618838739.49,3a4ac073639df50d6ecc05b85bdd31a0
inv/pat_108402/adm_1084102/rec_108401102/108401102_0031.head,668,1618049012.0,2e0b761e35e549992480cbf41c68373e
inv/pat_108402/adm_1084102/rec_108401102/108401102_0031_gpu.npz,182669,1618838838.65,dee02d69f25b60736fef3a99b58cb4ba
inv/pat_108402/adm_1084102/rec_108401102/108401102_0032.head,668,1618049214.0,f0530b3265e0c62f6fafaddc69faad2e
inv/pat_108402/adm_1084102/rec_108401102/108401102_0032_gpu.npz,252233,1618838938.42,3c03a25b6ddf500c58984c2759b7d1e1
inv/pat_108402/adm_1084102/rec_108401102/108401102_0033.head,668,1618049440.0,6ff9e1e65f328bfb623f60aa23a64774
inv/pat_108402/adm_1084102/rec_108401102/108401102_0033_gpu.npz,251034,1618839038.31,c27a0cb503d9898b53bcf7ce0ba74427
inv/pat_108402/adm_1084102/rec_108401102/108401102_0034.head,668,1618049654.0,e2a93ff914b578b485547fc0416ecd48
inv/pat_108402/adm_1084102/rec_108401102/108401102_0034_gpu.npz,214559,1618839144.61,42f41851639323b889f7b05470b64989
inv/pat_108402/adm_1084102/rec_108401102/108401102_0035.head,668,1618049852.0,d76dff34a71930387f7f17a9afca13e4
inv/pat_108402/adm_1084102/rec_108401102/108401102_0035_gpu.npz,121219,1618839248.89,5a4e33dad10cf66e814e67e4907bd20b
inv/pat_108402/adm_1084102/rec_108401102/108401102_0036.head,668,1618050054.0,10f4bfc77fd2bc189fe36e5affb15166
inv/pat_108402/adm_1084102/rec_108401102/108401102_0036_gpu.npz,158294,1618839351.37,2335179978eb51c6f15fd02e8d39bcbb
inv/pat_108402/adm_1084102/rec_108401102/108401102_0037.head,668,1618050330.0,bd15cb89d55318eb37799ce710e6b7fa
inv/pat_108402/adm_1084102/rec_108401102/108401102_0037_gpu.npz,122285,1618839456.09,d96ea512723361dc2b760746659344ad
inv/pat_108402/adm_1084102/rec_108401102/108401102_0038.head,668,1618050536.0,c41d364961215fc984c46d05794f2695
inv/pat_108402/adm_1084102/rec_108401102/108401102_0038_gpu.npz,79826,1618839560.06,01cbde59bb18f4fb2c96d3ecfe15f1f5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0039.head,668,1618050642.0,b7c154c0a7f0cea9877746b348ddef36
inv/pat_108402/adm_1084102/rec_108401102/108401102_0039_gpu.npz,78544,1618839616.24,5437ad1ffc45574e973767f43d5fb63c
inv/pat_108402/adm_1084102/rec_108401102/108401102_0040.head,668,1618050838.0,f54da86bd6faa94766c285dd2de3918d
inv/pat_108402/adm_1084102/rec_108401102/108401102_0040_gpu.npz,166791,1618839719.22,dd0d00e1b9fc0d541269af472f494767
inv/pat_108402/adm_1084102/rec_108401102/108401102_0041.head,668,1618051034.0,b7305cbc4b6df43bd4c2b1363d2a429e
inv/pat_108402/adm_1084102/rec_108401102/108401102_0041_gpu.npz,264142,1618839827.87,e9c88b12079a51c892adf528a60f8868
