candidate,stage,topology,noise,comparison,description,layer,mode,contact_i,contact_j,model_joint_n,patient_joint_n,model_i_precedes_j,patient_i_precedes_j,absolute_probability_error,lag_n,lag_mean,lag_median,lag_variance,lag_q05,lag_q95
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL5,ICL3,50,13050,0.44,0.6394636015325671,0.1994636015325671,50,-4.317470766977472,-12.61944813798982,182.66475866359988,-18.051902791315477,12.367190790959137
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL5,ICL2,49,12312,0.32653061224489793,0.6825860948667967,0.35605548262189873,49,-10.443118140474455,-23.163635873806015,350.49733398783565,-29.79216029937452,17.6402515441845
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL5,ICL1,50,11487,0.44,0.6353704187342213,0.19537041873422129,50,-0.1511647902863706,-9.866921995485427,277.91179695267823,-17.0181817147768,24.83705121671983
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL4,ICL3,50,17577,0.44,0.6268987881891108,0.18689878818911082,50,-3.661524144723785,-7.838552760362063,52.15693891136977,-11.469003175917397,6.11891902868283
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL4,ICL2,49,15905,0.2653061224489796,0.6836215026721156,0.418315380223136,49,-9.910696937346668,-16.31773591802903,169.33621825465067,-23.23953196364455,11.442829740715434
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL4,ICL1,50,14539,0.4,0.6256276222573767,0.22562762225737665,50,0.5047818319673161,-4.611854683922047,117.22981586503957,-9.977707987124631,18.265841584688076
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL3,ICL2,49,16139,0.22448979591836735,0.6550901542846521,0.43060035836628474,49,-6.273260610091252,-7.661911435450747,50.903752970578346,-15.360978580363007,5.5823983452501125
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL3,ICL1,50,14718,0.8,0.5856094578067672,0.21439054219323284,50,4.166305976691101,2.669842629822597,26.15099695585459,-2.3292966038073244,12.392562303208614
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL2,ICL1,49,14743,1.0,0.42002984467204774,0.5799701553279523,49,10.51694184228687,10.364467157518447,14.867653657830324,6.270224409594448,19.2952416531938
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL11,22,9571,0.5,0.5569950893323582,0.056995089332358195,22,0.6838167147970519,-0.295790970575581,31.250931347876293,-5.911483998336735,12.258680705921526
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,SCL8,19,10085,0.21052631578947367,0.7354486861675756,0.524922370378102,19,-6.004622018642115,-7.284077966796758,43.839953125768815,-12.559227743252768,6.03631696483366
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL10,21,9653,1.0,0.5720501398528954,0.42794986014710457,21,6.87464824081734,5.534400513867013,34.08434183824205,0.8118066932856891,18.06893903345417
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,SCL7,22,10051,0.13636363636363635,0.5842204755745697,0.44785683921093333,22,-3.8892822717189017,-3.9411368464450334,22.262185620464557,-9.060667423444647,5.5770071557700245
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL9,22,9759,1.0,0.5370939645455477,0.4629060354544523,22,12.382052505397093,11.201255412552428,42.17315995951486,6.558046312721126,25.29324969111007
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL8,22,9443,1.0,0.6050513607963571,0.39494863920364287,22,11.59552480990755,9.110194408839789,77.79075144319356,1.5104829640683648,23.761590919217813
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,SCL6,22,9097,0.6363636363636364,0.6056941848961196,0.030669451467516762,22,2.8887879010219937,3.125784781006587,16.676455586790038,-1.795905627701518,11.559940027233047
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL7,22,7849,1.0,0.7292648745063065,0.2707351254936935,22,15.274084426175023,12.237591917270947,63.51024633297964,6.144540150418038,28.47803087538722
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL6,22,6147,1.0,0.8234911338864487,0.17650886611355132,22,17.530257047534178,15.602633589791367,46.481988122975324,10.236711633902758,30.52407056625229
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL5,22,7527,1.0,0.8725920021256809,0.1274079978743191,22,21.174767192397955,20.334791925730087,24.59655250494969,15.06945601548946,31.453813896224595
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL4,22,9951,1.0,0.9248819214149332,0.0751180785850668,22,27.09992479074615,26.473877922458087,21.01151472521347,21.08130696110277,37.55263966504142
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL3,22,10060,1.0,0.939065606361829,0.06093439363817099,22,30.114604261324292,29.015595764128193,43.16093926365257,20.664505552060813,43.0638960025853
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,TA,SCL9,ICL2,22,8937,1.0,0.966207899742643,0.033792100257357016,22,27.609742632485986,31.245511276819457,187.47839033792695,8.997185481265387,48.45360427703005
