tau_recovery_s,q_hold,phase,source_dt_ms,q_min,q_max,q_mean,q_mean_minus_hold,per_return_multiplier,closure_error,periodic_pass
20.0,0.845,0.0,0.0625,0.844386949613169,0.8456160535141315,0.8449996971611645,-3.0283883545312307e-07,0.5627438335986593,1.1102230246251565e-16,True
20.0,0.845,0.25,0.0625,0.844386949967835,0.8456160536260824,0.8449996974103967,-3.025896032626818e-07,0.5627438612679654,1.1102230246251565e-16,True
20.0,0.845,0.5,0.0625,0.8443869425375814,0.8456160338950811,0.844999685832625,-3.1416737500400416e-07,0.5627425454189949,1.1102230246251565e-16,True
20.0,0.845,0.75,0.0625,0.8443869566181519,0.8456160543904464,0.8449997036542615,-2.963457385041224e-07,0.5627445764488688,2.220446049250313e-16,True
40.0,0.84,0.0,0.125,0.8397037849365633,0.8402983181595277,0.8400000000000002,2.220446049250313e-16,0.6853713127308412,0.0,True
40.0,0.84,0.25,0.125,0.8397037838181468,0.8402983190398471,0.8399999993433006,-6.566993615564343e-10,0.6853712268710105,0.0,True
40.0,0.84,0.5,0.125,0.8397037873041335,0.8402983221821347,0.840000004416496,4.416496057757513e-09,0.6853718598262482,0.0,True
40.0,0.84,0.75,0.125,0.8397037852608813,0.8402983187559045,0.840000000701407,7.014070435573672e-10,0.6853714072892436,0.0,True
40.0,0.84,0.0,0.0625,0.8397033811617256,0.8402972694583534,0.839999261381683,-7.386183169533211e-07,0.6855655128569801,1.1102230246251565e-16,True
40.0,0.84,0.25,0.0625,0.8397033796126617,0.8402972715523667,0.8399992595860801,-7.404139198419202e-07,0.6855652938956704,1.1102230246251565e-16,True
40.0,0.84,0.5,0.0625,0.8397034338327357,0.8402973083508141,0.8399992891051403,-7.108948596457054e-07,0.6855688799636248,1.1102230246251565e-16,True
40.0,0.84,0.75,0.0625,0.8397033813441945,0.8402972693149615,0.8399992615683719,-7.384316280667491e-07,0.6855655355985676,0.0,True
40.0,0.8425,0.0,0.125,0.8421996449326624,0.8428020521819878,0.8424999999999996,-4.440892098500626e-16,0.6574980284725515,0.0,True
40.0,0.8425,0.25,0.125,0.842199644848298,0.8428020522572792,0.8424999999347137,-6.528633189617494e-11,0.657498017131708,0.0,True
40.0,0.8425,0.5,0.125,0.8421996439609293,0.8428020514843915,0.8424999976275386,-2.3724614495179708e-09,0.6574976927470167,1.1102230246251565e-16,True
40.0,0.8425,0.75,0.125,0.842199645540964,0.8428020532081044,0.8425000004738543,4.738542891402631e-10,0.6574981119066634,0.0,True
40.0,0.8425,0.0,0.0625,0.8421994789040689,0.8428013231205145,0.8424995345510473,-4.654489527133876e-07,0.6577096806647387,0.0,True
40.0,0.8425,0.25,0.0625,0.8421994790218342,0.8428013227421169,0.8424995347998123,-4.652001877047951e-07,0.6577097182670218,1.1102230246251565e-16,True
40.0,0.8425,0.5,0.0625,0.8421994767947202,0.8428013211153516,0.842499533110358,-4.668896420589874e-07,0.6577094721364979,0.0,True
40.0,0.8425,0.75,0.0625,0.8421994793591172,0.8428013232865262,0.8424995340112618,-4.6598873826297904e-07,0.6577096031577994,0.0,True
40.0,0.845,0.0,0.125,0.8446930487370103,0.8453081753047856,0.8450000000000004,4.440892098500626e-16,0.6223993185723745,1.1102230246251565e-16,True
40.0,0.845,0.25,0.125,0.8446930491009055,0.8453081752174663,0.8449999999828223,-1.717770370390781e-11,0.6223993175543447,0.0,True
40.0,0.845,0.5,0.125,0.8446930502571599,0.8453081735165245,0.8449999984984797,-1.5015202414758733e-09,0.62239906118977,0.0,True
40.0,0.845,0.75,0.125,0.8446930489055705,0.84530817468497,0.8449999993426551,-6.573448452229513e-10,0.6223992051301627,0.0,True
40.0,0.845,0.0,0.0625,0.8446931386782066,0.84530778179599,0.8449998304587863,-1.695412136237806e-07,0.6226304372534426,0.0,True
40.0,0.845,0.25,0.0625,0.8446931388037724,0.8453077818680413,0.8449998306106874,-1.6938931257648449e-07,0.6226304630160194,1.1102230246251565e-16,True
40.0,0.845,0.5,0.0625,0.8446931316520763,0.8453077649863826,0.8449998235549089,-1.7644509109349116e-07,0.6226292384388736,1.1102230246251565e-16,True
40.0,0.845,0.75,0.0625,0.8446931450859071,0.8453077829037361,0.8449998344164119,-1.655835880631784e-07,0.6226311284911772,1.1102230246251565e-16,True
50.0,0.84,0.0,0.125,0.8397630084808821,0.8402386439044196,0.8399999999999996,-3.3306690738754696e-16,0.6942495887304548,0.0,True
50.0,0.84,0.25,0.125,0.8397630079777496,0.8402386438576763,0.8399999994558852,-5.441147532536661e-10,0.6942495042417562,0.0,True
50.0,0.84,0.5,0.125,0.8397630104780378,0.8402386461312118,0.840000003658895,3.6588950758087435e-09,0.6942501272520466,1.1102230246251565e-16,True
50.0,0.84,0.75,0.125,0.8397630085277648,0.8402386442564261,0.8400000005811538,5.811537917566056e-10,0.6942496817627758,1.1102230246251565e-16,True
