family,candidate,reference,mode,metric,metric_zh,paired_runs,topologies,positive,negative,zero,median_change,min_change,max_change,minimum_support
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,participation_mae,通道参与概率误差,6,3,0,6,0,-0.051652704108644504,-0.18557507279402455,-0.03171797916955535,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,pair_order_probability_mae,成对顺序概率误差,6,3,0,6,0,-0.14719501438064894,-0.24625526501565537,-0.09161274655944576,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-103.28431772067552,-121.61519072393276,-3.9806066944802296,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,local_width_ms_median,接触点局部宽度 (ms),6,3,0,0,6,0.0,0.0,0.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-70.5,-80.0,-58.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,0,6,0,-8.840479762544192,-12.34873664193401,-4.952978688540725,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.17839813397288304,0.15670272796233609,0.1900329708128832,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,peak_active_components_median,峰值并行连通域数,6,3,0,0,6,0.0,0.0,0.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,n,本类合格事件数,6,3,6,0,0,13.5,3.0,34.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,3,3,0,6.25,-7.0,33.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,peak_active_area_mm2_median,峰值活动面积 (mm²),6,3,6,0,0,21.75,13.0,26.0,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,native_spatial_rms_mm_median,累计活动空间离散度 (mm),6,3,0,6,0,-0.23123646496788153,-0.5210002915693384,-0.13198193449254703,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,peak_largest_component_fraction_median,峰值最大连通域活动份额,6,3,2,0,4,0.0,0.0,0.029782632503173367,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,SCL_upper_participation,SCL9/8 参与概率,6,3,3,3,0,-0.004822539059439135,-0.044481981981981944,0.08173076923076916,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,ICL_contact_participation,ICL 平均参与概率,6,3,6,0,0,0.018107474357474285,0.01275605379572542,0.06741787624140572,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,both_rods,两杆共同参与概率,6,3,1,0,5,0.0,0.0,0.01041666666666663,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,participation_mae,通道参与概率误差,6,3,6,0,0,0.02178513917644352,0.010218661107854021,0.07936744013780134,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,pair_order_probability_mae,成对顺序概率误差,6,3,0,6,0,-0.012122473366781322,-0.022953553565331408,-0.004814497304881371,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-1.160447158189072,-1.3906153236202954,-1.0261846023713588,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,local_width_ms_median,接触点局部宽度 (ms),6,3,5,0,1,2.0,0.0,2.0,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-10.0,-14.0,-6.0,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,6,0,0,6.508612307626208,3.8495672229055344,11.341321646881852,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.19907106741575725,0.127927854463907,0.22620795779400205,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,peak_active_components_median,峰值并行连通域数,6,3,2,2,2,0.0,-1.0,1.0,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,n,本类合格事件数,6,3,6,0,0,20.0,1.0,48.0,1
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TB,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,4,2,0,81.5,-24.0,91.0,1
