family,candidate,reference,topology,noise,layer,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,primary,TB,10,119,-0.02293010227346759,0.01275605379572542,0.0,0.010218661107854021,-0.010791811116016015,-1.1486706789892196,2.0,-6.0,3.8495672229055344,0.127927854463907,-1.0,-24.0,-2.0,0.11878991381411641,0.06691623771642485
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,all_detected,ALL,-3,166,-0.07077389311848625,0.016869485751147217,0.0,0.010953493945744297,-0.057048514436572106,-1.363463091025551,2.0,-8.0,3.334562765713599,0.13387629091280884,-1.0,-18.0,-1.0,0.09059950601509925,0.05777882986892047
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,all_detected,TA,3,25,-0.29714285714285715,0.06181818181818188,0.0,-0.0345616262456368,-0.13371502756567155,-121.56246390025262,0.0,-80.0,-5.465881646809066,0.18005054829443545,0.0,-1.0,15.0,-0.3023321456672905,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,all_detected,TB,-6,141,-0.022379826635145816,0.01328175370728557,0.0,0.010538481744155503,-0.009349433231720772,-1.1486706789892196,2.0,-6.0,3.762103840323107,0.12607151494635283,-1.0,-24.0,-2.0,0.1154981224102265,0.06396420110555412
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,primary,ALL,0,139,0.07194244604316558,0.0,0.0,-0.0030796364425909883,-0.1913363014120485,-17.453592835344352,0.0,-18.0,41.694814814822166,0.0018759969963000472,0.0,6.0,2.0,-0.02817495592547914,0.0017231009391301955
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,primary,TA,23,67,0.22114427860696517,0.0013568521031207537,0.0,-0.03519071310116087,-0.01078482968767941,3.1318790987515968,0.0,2.0,0.1485176015921752,0.018318668889759776,0.0,19.5,3.0,0.04415528711860883,0.005971139648312196
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,primary,TB,-23,72,0.035997732426303886,-0.0018552875695733162,0.0,0.0034754414845255266,-0.05048539619264969,-0.21498858986183222,0.0,0.0,-2.6055938414019693,-0.009514946903138727,0.0,2.0,0.0,-0.03187797178137863,-0.004551881877659536
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,all_detected,ALL,8,180,0.07411347517730493,-0.003363421448527748,0.0,-0.013396829496658352,-0.13904302576597105,-9.99041363808692,0.0,-6.0,13.553534718905212,0.0070626717892491725,0.0,7.0,2.0,-0.02302321045278255,0.0013916570854016763
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,all_detected,TA,24,91,0.17510750119445778,-0.004534595838943667,0.0,-0.033279184583532434,-0.015185708037447038,3.195381848627676,0.0,2.0,0.6955899137392407,0.01690516669557536,0.0,14.0,4.0,0.020063126903399287,0.007510344020552506
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847401,all_detected,TB,-16,89,0.04948437740495604,-0.001245330012453305,0.0,0.008563056199660607,-0.024892927269129395,-0.12006211745074324,0.0,0.0,-2.170391534395094,0.002491112169913323,0.0,4.0,-1.0,-0.011604086500977218,-0.003300460261538185
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847402,primary,ALL,-14,158,0.12464838255977495,0.00046349571666037814,0.0,-0.008282815671359911,-0.15334809483199197,-12.52454359054741,0.0,-10.0,28.220921115917918,0.005791165187526731,0.0,8.5,4.0,-0.02335712061396311,-0.0015337920852255271
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847402,primary,TA,13,66,0.2529727656309935,0.0013774104683196287,0.0,-0.04443165835570903,-0.02649345339614831,2.719324110174057,0.0,-2.0,0.05146671455759133,0.016993827040999374,0.0,20.5,5.0,0.006314128038025224,-0.0007619475189220015
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847402,primary,TB,-27,92,0.07575250836120406,-0.0008209182122226322,0.0,0.0022185061315496135,-0.021212242752320032,-0.3460924583932865,0.0,2.0,-0.26230139513427275,0.001054689933367367,0.0,3.0,4.0,-0.009709351288276657,-0.003081791867711847
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847402,all_detected,ALL,9,184,0.11207479161973422,0.0010572610538819305,0.0,-0.006486651762977164,-0.15113462480215903,-21.184201714447795,0.0,-18.0,43.10978438228449,0.002815213630343469,0.0,7.5,2.0,-0.026331964312813483,0.0010707154607446645
leftward position shift,bridge_circle_out125_xminus075,bridge_circle_out125,2511,847402,all_detected,TA,29,74,0.2450800314877984,0.0028028911524057287,0.0,-0.04127525583836261,-0.023361773068563463,3.162753617783892,0.0,0.0,1.08477709424551,0.014769609789476015,0.0,17.0,3.0,-0.011997412759680692,-0.0045806434443274036
