subject,model,intervention,metric,nll_cost_vs_ordered
epilepsiae_1096,selected_ordered,reset_after_rank_2,step4plus_prefix_balanced_nll,0.3629248745817346
epilepsiae_1096,selected_ordered,reverse_prefix,heldout_event_balanced_nll,0.0019146203994750977
epilepsiae_1096,selected_ordered,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reverse_prefix,step2_prefix_balanced_nll,0.013120441129612859
epilepsiae_1096,selected_ordered,reverse_prefix,step3_prefix_balanced_nll,0.07377967220163417
epilepsiae_1096,selected_ordered,reverse_prefix,step4plus_prefix_balanced_nll,0.0038577970874862366
epilepsiae_1125,full_history_gru,drop_earliest,heldout_event_balanced_nll,0.0650707483291626
epilepsiae_1125,full_history_gru,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,drop_earliest,step1_prefix_balanced_nll,0.1817297012297292
epilepsiae_1125,full_history_gru,drop_earliest,step2_prefix_balanced_nll,0.04717749674507443
epilepsiae_1125,full_history_gru,drop_earliest,step3_prefix_balanced_nll,-0.02960572869020517
epilepsiae_1125,full_history_gru,drop_earliest,step4plus_prefix_balanced_nll,0.0018097543000308303
epilepsiae_1125,full_history_gru,reset_after_rank_0,heldout_event_balanced_nll,0.0650707483291626
epilepsiae_1125,full_history_gru,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_0,step1_prefix_balanced_nll,0.1817297012297292
epilepsiae_1125,full_history_gru,reset_after_rank_0,step2_prefix_balanced_nll,0.04717749674507443
epilepsiae_1125,full_history_gru,reset_after_rank_0,step3_prefix_balanced_nll,-0.02960572869020517
epilepsiae_1125,full_history_gru,reset_after_rank_0,step4plus_prefix_balanced_nll,0.0018097543000308303
epilepsiae_1125,full_history_gru,reset_after_rank_1,heldout_event_balanced_nll,0.07887470722198486
epilepsiae_1125,full_history_gru,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_1,step2_prefix_balanced_nll,0.18936675113468548
epilepsiae_1125,full_history_gru,reset_after_rank_1,step3_prefix_balanced_nll,0.03735016219064202
epilepsiae_1125,full_history_gru,reset_after_rank_1,step4plus_prefix_balanced_nll,0.055497965542198546
epilepsiae_1125,full_history_gru,reset_after_rank_2,heldout_event_balanced_nll,0.13357794284820557
epilepsiae_1125,full_history_gru,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reset_after_rank_2,step3_prefix_balanced_nll,0.13618232085524196
epilepsiae_1125,full_history_gru,reset_after_rank_2,step4plus_prefix_balanced_nll,0.1467884565622144
