name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee1.2_d0_n1_t2511_s848101,1.2,0.0,848101,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.443359375,0.27325,sparse_bursts,2,,,,,,0.010555555555555556,0.1,,0.25,True,0.13390625,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848101,1.2,0.0,848101,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,0.42271923505141135,0.2693693103674111,sparse_bursts,2,,,,,,0.01,0.1,,0.25,True,0.12387844652564019,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848102,1.2,0.0,848102,2511,True,grid,20000.0,coreAE,18.0,720,0.1,1.295216049382716,1.0,sparse_bursts,3,1.59,0.7649205431703533,1.0817610062893082,,3.3561643835616444,0.006666666666666666,0.04,-0.004010255320063608,1.25,True,0.7986111111111112,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848102,1.2,0.0,848102,2511,True,grid,20000.0,coreBE,18.0,742,0.1,1.2405660377358492,1.0,sparse_bursts,3,1.5949999999999998,0.8822209997249087,1.2476489028213165,,4.316666666666665,0.006111111111111111,0.04,-0.004147798439132942,5.0,True,0.793800539083558,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848102,1.2,0.0,848102,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,1.2674798601611186,0.5082079343365253,sparse_bursts,5,0.365,1.3973567608738162,1.826918895412046,,3.4520547945205475,0.012777777777777779,0.1,-0.008732022883823022,1.5,True,0.3960328317373461,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848102,1.2,0.0,848102,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.6515086805555556,0.2709375,sparse_bursts,3,1.595,0.8201552007492867,1.1598746081504698,,3.7611940298507434,0.015555555555555557,0.1,-0.01527355638875912,1.5,True,0.1349375,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848102,1.2,0.0,848102,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,0.6220191964837979,0.2642936669068046,sparse_bursts,3,1.595,0.8201552007492867,1.1598746081504698,,3.7611940298507434,0.015555555555555557,0.1,-0.014719735889573652,1.5,True,0.12427139956775166,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848101,0.85,1.0,848101,2711,True,new_network,20000.0,coreAE,18.0,771,0.1,11.82252485948984,1.0,regular_bursts,62,0.27999999999999936,0.21033624603499268,0.23210297030957988,0.08152674173505049,1.0370370370370336,0.11888888888888892,0.06,0.21439174012852075,3.75,True,0.6725032425421531,0.72,3.0,4.00375225900236,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848101,0.85,1.0,848101,2711,True,new_network,20000.0,coreBE,18.0,816,0.1,6.787445533769063,1.0,variable_bursts,63,0.2799999999999997,0.25622097370154867,0.31826386702571324,-0.13258569603465448,1.0000000000000024,0.11777777777777781,0.07,0.10873642634438554,3.25,True,0.21200980392156862,0.795,5.222222222222222,3.9004955159162913,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848101,0.85,1.0,848101,2711,True,new_network,20000.0,coreUnionE,18.0,1587,0.1,9.233599383882938,0.5645872715816005,irregular_bursts,104,0.17999999999999972,0.6021935079144222,1.0165539805335078,-0.6229090326504592,1.0,0.20666666666666642,0.1,0.1814586669178967,3.25,True,0.1833648393194707,0.305,11.722222222222221,5.12660208648475,irregular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
