subject,control,direction_type,direction_index,n_contacts,median_cross_seed_spearman,median_heldout_half_spearman
yuquan_wangyiyang,rank_shuffle_gru,output_coupled,1,22,-0.7357425183512141,0.9943534726143423
yuquan_wangyiyang,rank_shuffle_gru,output_coupled,2,22,0.8588368153585546,0.9943534726143423
yuquan_wangyiyang,rank_shuffle_gru,pca,1,22,0.9345002823263695,0.9706380575945794
yuquan_wangyiyang,rank_shuffle_gru,pca,2,22,-0.13382269904009036,0.9977413890457371
yuquan_xuxinyi,full_history_gru,output_coupled,1,15,0.7535714285714286,0.9892857142857142
yuquan_xuxinyi,full_history_gru,output_coupled,2,15,0.3714285714285714,0.9964285714285712
yuquan_xuxinyi,full_history_gru,pca,1,15,0.7999999999999999,0.9785714285714284
yuquan_xuxinyi,full_history_gru,pca,2,15,0.2607142857142857,0.982142857142857
yuquan_xuxinyi,rank_shuffle_gru,output_coupled,1,15,0.06071428571428571,0.9964285714285712
yuquan_xuxinyi,rank_shuffle_gru,output_coupled,2,15,0.11785714285714284,0.9928571428571428
yuquan_xuxinyi,rank_shuffle_gru,pca,1,15,0.4535714285714285,0.8642857142857141
yuquan_xuxinyi,rank_shuffle_gru,pca,2,15,0.6178571428571428,0.9892857142857142
yuquan_zhangbichen,full_history_gru,output_coupled,1,52,-0.3407325194228635,0.9979509946213607
yuquan_zhangbichen,full_history_gru,output_coupled,2,52,-0.09596175189959874,0.9982071202936907
yuquan_zhangbichen,full_history_gru,pca,1,52,0.45667207376419355,0.9965849910356014
yuquan_zhangbichen,full_history_gru,pca,2,52,0.7578758644241441,0.9986339964142406
yuquan_zhangbichen,rank_shuffle_gru,output_coupled,1,52,0.6249466404849312,0.9988047468624603
yuquan_zhangbichen,rank_shuffle_gru,output_coupled,2,52,-0.39127465209596174,0.9981217450695807
yuquan_zhangbichen,rank_shuffle_gru,pca,1,52,0.45692819943652346,0.9900964740032442
yuquan_zhangbichen,rank_shuffle_gru,pca,2,52,0.5528899513361223,0.9987193716383506
yuquan_zhangjiaqi,full_history_gru,output_coupled,1,7,0.9642857142857145,1.0
yuquan_zhangjiaqi,full_history_gru,output_coupled,2,7,0.8928571428571429,0.8571428571428573
yuquan_zhangjiaqi,full_history_gru,pca,1,7,0.8928571428571429,0.9642857142857145
yuquan_zhangjiaqi,full_history_gru,pca,2,7,0.9642857142857145,1.0
yuquan_zhangjiaqi,rank_shuffle_gru,output_coupled,1,7,0.9642857142857145,0.9642857142857145
yuquan_zhangjiaqi,rank_shuffle_gru,output_coupled,2,7,0.9285714285714288,0.9642857142857145
yuquan_zhangjiaqi,rank_shuffle_gru,pca,1,7,0.7857142857142859,0.7142857142857144
yuquan_zhangjiaqi,rank_shuffle_gru,pca,2,7,0.03571428571428572,0.9642857142857145
yuquan_zhangkexuan,full_history_gru,output_coupled,1,26,0.11658119658119658,0.995213675213675
yuquan_zhangkexuan,full_history_gru,output_coupled,2,26,0.509059829059829,0.9904273504273503
yuquan_zhangkexuan,full_history_gru,pca,1,26,0.5336752136752136,0.9767521367521367
yuquan_zhangkexuan,full_history_gru,pca,2,26,0.08854700854700855,0.9958974358974357
yuquan_zhangkexuan,rank_shuffle_gru,output_coupled,1,26,0.10222222222222223,0.9938461538461537
yuquan_zhangkexuan,rank_shuffle_gru,output_coupled,2,26,-0.4092307692307692,0.9938461538461537
yuquan_zhangkexuan,rank_shuffle_gru,pca,1,26,0.5439316239316239,0.9425641025641024
yuquan_zhangkexuan,rank_shuffle_gru,pca,2,26,0.625982905982906,0.9972649572649572
yuquan_zhaochenxi,full_history_gru,output_coupled,1,26,-0.07487179487179485,0.9924786324786324
yuquan_zhaochenxi,full_history_gru,output_coupled,2,26,0.617094017094017,0.984957264957265
yuquan_zhaochenxi,full_history_gru,pca,1,26,0.7025641025641025,0.9815384615384615
yuquan_zhaochenxi,full_history_gru,pca,2,26,-0.10358974358974359,0.9856410256410256
yuquan_zhaochenxi,rank_shuffle_gru,output_coupled,1,26,0.21162393162393162,0.9917948717948717
yuquan_zhaochenxi,rank_shuffle_gru,output_coupled,2,26,-0.35999999999999993,0.9911111111111112
yuquan_zhaochenxi,rank_shuffle_gru,pca,1,26,0.5740170940170939,0.9152136752136751
yuquan_zhaochenxi,rank_shuffle_gru,pca,2,26,0.2622222222222222,0.9781196581196581
