subject,seed_dir,control,k,random_index,random_variance_fidelity,pca_variance_fidelity,random_nll_loss,pca_nll_loss,pca_advantage_nll
epilepsiae_1073,seed_20260725,full_history_gru,16,1,0.5180328231540814,0.9994219146624924,0.0454927383245031,-0.0005296067239084,0.0460223450484116
epilepsiae_1073,seed_20260725,full_history_gru,16,2,0.3392387221109004,0.9994219146624924,0.1041553675444446,-0.0005296067239084,0.1046849742683531
epilepsiae_1073,seed_20260725,full_history_gru,16,3,0.5514462830457572,0.9994219146624924,0.0639890485169463,-0.0005296067239084,0.0645186552408547
epilepsiae_1073,seed_20260725,full_history_gru,16,4,0.3537933543839267,0.9994219146624924,0.0650212906680063,-0.0005296067239084,0.0655508973919147
epilepsiae_1073,seed_20260725,full_history_gru,16,5,0.7239146156664849,0.9994219146624924,0.0339660893332274,-0.0005296067239084,0.0344956960571358
epilepsiae_1073,seed_20260725,full_history_gru,16,6,0.4202452659587573,0.9994219146624924,0.0806235884332202,-0.0005296067239084,0.0811531951571287
epilepsiae_1073,seed_20260725,full_history_gru,16,7,0.6723860917170783,0.9994219146624924,0.0418062024527379,-0.0005296067239084,0.0423358091766463
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,0,0.0119548179843219,0.8498899853039816,0.1489671515817807,-0.0009588899710382,0.1499260415528189
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,1,0.0346680461683949,0.8498899853039816,0.1421861234303962,-0.0009588899710382,0.1431450134014344
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,2,0.0141674946041779,0.8498899853039816,0.1529268209879295,-0.0009588899710382,0.1538857109589677
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,3,0.0287231194748255,0.8498899853039816,0.1488345979787739,-0.0009588899710382,0.1497934879498121
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,4,0.0184504563934958,0.8498899853039816,0.1575570435044244,-0.0009588899710382,0.1585159334754626
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,5,0.1478740136356248,0.8498899853039816,0.1312655206177926,-0.0009588899710382,0.1322244105888308
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,6,0.0059520135031836,0.8498899853039816,0.1586399800004159,-0.0009588899710382,0.1595988699714541
epilepsiae_1073,seed_20260725,rank_shuffle_gru,1,7,0.0025317295932315,0.8498899853039816,0.1568288917884708,-0.0009588899710382,0.157787781759509
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,0,0.0151448311528359,0.9372948584932926,0.1521054607694081,-0.0023444100468796,0.1544498708162878
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,1,0.0119616047399637,0.9372948584932926,0.1622738376417793,-0.0023444100468796,0.164618247688659
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,2,0.0607003799023221,0.9372948584932926,0.151558420090476,-0.0023444100468796,0.1539028301373557
